,Unnamed: 0,dialog
0,0,Subtitles by explosiveskull siren blares outside moans I liked you back when we was in elementary...
1,1,in Mr. Lorenzo's class.
2,2,"I liked you, too."
3,3,Wish I knew that.
4,4,Though I would've needed an instruction manual back then.
5,5,Ever thought about doing something else?
6,6,Some other kind of work?
7,7,Not real serious or anything.
8,8,Worked at the mall for a little while.
9,9,Let me look if you don't mind.
10,10,I've had a long intermission.
11,11,music playing over car radio I'mma talk with Andre on Tuesday.
12,12,You interested if something comes up?
13,13,"Before I consider that kind of vocation, I need to get myself acclimated."
14,14,Certainly.
15,15,"Walk around, breathe some air, gaze at the sky, see how blue it looks on the outside."
16,16,Enjoy yourself.
17,17,"Once I've settled, I'll let you know."
18,18,Anyhow...
19,19,thanks for setting that up with Lana.
20,20,And for fetching.
21,21,Certainly.
22,22,See you.
23,23,"locks click man moans woman moans woman Um, uh..."
24,24,"Baby, go back to your room, okay?"
25,25, Mama's busy.
26,26, This ain't Ethan.
27,27,Henry?
28,28,Yeah.
29,29, Get some clothes on...
30,30, Look...
31,31,I got company right now. I...
32,32,Put some clothes on and eject that nigga or I'm practicing home runs on his skull.
33,33,woman sighs Move like you in fastforward.
34,34,"Look, you ain't got no right coming here."
35,35,That was a baseball bat and this door's beyond flimsy.
36,36,"Okay, okay."
37,37,Let us get ourselves dressed.
38,38,Damn.
39,39,Forcing my friend out.
40,40,You gotta promise you're not gonna hurt him.
41,41,Out.
42,42,Call my mother again and I'll crack your skull.
43,43, Understand?
44,44, I do.
45,45,'Aight.
46,46,Take those garbage bags that are outside down to the trash.
47,47,"Okay, I will."
48,48,"Fool, you just cost me."
49,49,"Ma, how long you been doing this?"
50,50,Not long.
51,51,What happened to your job at the grocery?
52,52,I got fired.
53,53,I left you money before I went in.
54,54,Plenty for twice as long.
55,55,It ran out.
56,56,Yeah...
57,57,And I can see its footprints up and down your arms.
58,58,"Look, you ain't got no right lecturing me about nothing."
59,59,Your ass went to jail.
60,60,I did what I had to do.
61,61,"Ma, let's fastforward all this."
62,62,Ain't no point in arguing about a bunch of yesterdays.
63,63,You can't be doing this.
64,64,"Hooking, needles..."
65,65,and especially not in front of Ethan at all ever.
66,66,He ain't a toddler no more.
67,67,"And you doing those things around him, it'll mess him up permanent."
68,68,"So, you gonna take care of us now, huh?"
69,69,Like your cocksucking father did when he ran off with his faggotass boyfriend?
70,70,Pops is a yesterday who ain't worth words.
71,71,You got opportunities right out the penitentiary?
72,72,I might.
73,73,"Look, we are six months behind on bills, rent, everything."
74,74,"And the collection agency, they buzzing like mosquitoes..."
75,75,'Aight.
76,76,Start organizing yourself and this place...
77,77,and I'll figure things.
78,78,Ethan home?
79,79,Ethan What?
80,80,It's me.
81,81,Henry?
82,82, When'd you get out of the oven?
83,83, Today.
84,84,Can I come in?
85,85,Yeah...
86,86,Mom told me to lock the door 'cause a man was coming over later.
87,87, I'm coming.
88,88, squeaking Sounds like you could use some oil.
89,89,"Ma, you got any?"
90,90,Some kind that smells good.
91,91,I got the Italian kind with the cork in it.
92,92,That'll work.
93,93,Looks like you've been working out.
94,94,"Yeah, I've been doing curls."
95,95,Let's do it proper.
96,96,"So, you wanna show me those video games you talked about in your letters?"
97,97,Are you gonna stay here?
98,98,I am...
99,99,till things are sort of correct.
100,100,footsteps approaching Where's mine?
101,101,Spilled.
102,102,You didn't think to go back and get me another?
103,103,Accelerated the event.
104,104,There was little time and less inclination.
105,105,Prick.
106,106,I thought you'd be okay with...
107,107,me just telling you about mine.
108,108,Nope.
109,109,The story begins on the fields of Jamaica where...
110,110,knocking Davids is gonna do leaky pipes?
111,111,"Usually works, yeah."
112,112,You're still maintaining that...
113,113,gum is for cows and imbeciles?
114,114,I do and it is.
115,115," cell phone vibrates  cell phone chimes knocking knocking Go away, I'm sleeping."
116,116,"knocking Come on, I'm sleeping."
117,117,"second man Sorry to bother you, Mr. Vasquez, but there's a leak coming from your apartment."
118,118,I need to come in and check the pipes.
119,119,I don't see any leaks.
120,120,The super hired me to check the pipes.
121,121,Let me in and I'll take care of it as quick as I can.
122,122,Mr. Vasquez?
123,123,Sir.
124,124,Sir.
125,125,I need to get in there and check those pipes.
126,126, banging  Mr. Vasquez.
