,Unnamed: 0,dialog
0,0,You're not saying things that mean anything.
1,1,It's not even a debate.
2,2,It's a better automobile!
3,3,Ain't no way you can say to me a Lincoln is better than a Cadillac.
4,4, A Lincoln is better. It's a better automobile.
5,5, Forget about it.
6,6,A Cadillac's got more acceleration.
7,7,It's got more power.
8,8,It's got better handling.
9,9,It's got more legroom for your legs.
10,10,It's got more power.
11,11, You just said that.
12,12, Bingo.
13,13, What?
14,14," You just said, ""More power. ""  You're starting to repeat yourself."
15,15, I said that?
16,16, You're getting senile.
17,17, He got me so fucking aggravated.
18,18,"I'll tell you one thing, Mercedes got it all over both of them."
19,19,A Mercedes?
20,20,"A Lincoln's like driving a fucking water bed, for Christ's sakes."
21,21, A Mercedes.
22,22, Yeah. It's a good car.
23,23,"I'll tell you one thing, my friend."
24,24,Undisputable. The Lincoln is longer.
25,25,It's longer? Longer like what?
26,26,Longer like my dick is longer?
27,27,"No, no, no. We're not talking about a Volkswagen."
28,28,"What do you mean? Yeah, Volkswagen."
29,29,Longer. Like longer.
30,30,Like in inches it's longer.
31,31, You don't make no fucking sense.
32,32, It's a longer car.
33,33,"Two fucking cars, right?"
34,34,"This is a car, this is a car, right?"
35,35,"Right here, okay?"
36,36,"All things being equal, the one's longer gonna get there first."
37,37,You don't have to be fucking Einstein to understand this.
38,38,"You know what happens when you get there, don't you?"
39,39, No.
40,40, You're still driving a fucking Lincoln.
41,41,I'll show you a fucking picture.
42,42,Two cars. The one's longer gets there first.
43,43,That's a scientific fact. It's a longer car.
44,44, Can I ask you guys something?
45,45, What?
46,46,"Are you guys, you know, wise guys?"
47,47,Wise guys? What are wise guys?
48,48, You know...
49,49, What makes you think we're wise guys?
50,50,We could be cops.
51,51,Yeah.
52,52, You believed me. Undercover what?
53,53," No, I didn't."
54,54, You believed me.
55,55," No, it's just..."
56,56, Who's that over there?
57,57, Who?
58,58,The guy by the bar with the mustache.
59,59,"That's Don, Don the Jeweler."
60,60,Jilly brought him here.
61,61,"What Jilly? Jilly ""Foureyes""?"
62,62,"Not that fucking hump Jilly ""Foureyes. "" Jilly, you know, from Queens."
63,63, You think he's a wise guy?
64,64," No, he's a connected guy."
65,65,"Connected? If I had a thing to lay off, he could lay it off for me?"
66,66, You got something you gotta lay off?
67,67, Ain't the question.
68,68, You got something you gotta lay off?
69,69, Ain't the question.
70,70,"I'm just saying if I had a thing, he could lay it off. That's all."
71,71,"All that fucking money you owe downtown, you'd have to lay off a fucking Brink's truck."
72,72, Sonny's in love.
73,73, I think fucking Lefty's in love.
74,74,I'll see you.
75,75,Were you asleep?
76,76," Are you okay, honey?"
77,77," Yeah, I'm okay."
78,78,Go back to sleep. I'll call you tomorrow.
79,79,"That's good, babe."
80,80,Okay. I'm sorry. I gotta go back to sleep.
81,81,I'm so tired.
82,82, All right.
83,83, All right.
84,84, Hey.
85,85, Yeah.
86,86,What?
87,87,Put the phone on your pillow.
88,88,I want to listen to you breathe.
89,89,You Don the Jeweler?
90,90,There. That's some beautiful thing.
91,91,Why don't you give it to your wife?
92,92,My wife? How am I gonna give it to my wife?
93,93, I ain't married.
94,94, Got a girlfriend?
95,95," Yeah, I got a girlfriend."
96,96, So marry her.
97,97,"Hey, you for real?"
98,98,I'm asking you to middle a diamond for me here.
99,99," All I want from my end is $8,000."
100,100," And I'm saying to you is you should give it to somebody that don't know better, because that's a fugazy."
101,101,All right?
102,102,That's a fugazy?
103,103,How do you know it's a fugazy?
104,104, You looked at it for two seconds.
105,105, What? It's a fake.
106,106,I know what a fugazy is.
107,107,"Hey, pal, you want to see something?"
108,108,I'm gonna show you something.
109,109,There you go. Ain't that something?
110,110,That's a beautiful thing.
111,111,"Yeah, that is a beautiful thing, but it's not my thing."
112,112,What about this?
113,113,What do you want me to say?
114,114,"Go ahead, try and sell it, you want to be a dumbsky. Give it a shot."
115,115,Dumbsky? You calling me a dumbsky?
116,116,"You know who you're talking to, my friend?"
117,117,"Hey, Left. Come on, have a spritzer."
118,118,You want to go embarrass yourself with this thing...
119,119,"Embarrass myself? My family, my children..."
120,120,"My mother can hold her head up in any neighborhood in this city when she walks down the block, see?"
121,121,"In all the five boroughs, I'm known."
122,122,Forget about it.
123,123,I'm known all over the fucking world.
124,124,"Anybody, ask anybody about Lefty from Mulberry Street."
125,125, You're pissing up the wrong fucking tree.
126,126, I didn't mean no disrespect.
127,127, It's a misunderstanding.
128,128, Where you going? Sit down there.
129,129,You're gonna walk out on me?
130,130,You don't walk out on me.
131,131,I walk out on you.
132,132, You got a car?
133,133, I got a car.
134,134,Let's go get your car. Come on.
135,135,Take care.
136,136,Put that window up.
137,137,I'm gonna catch a draft.
138,138,I'm getting fucking cancer over here.
139,139, You'll be all right.
140,140, Where we going?
141,141,You a cop?
142,142,Don't ask so many fucking questions.
143,143,"Well, well, I've got to school you, my friend. I've got to school you."
144,144,"What's the matter? You work for Jilly, he never school you?"
145,145,School me in what?
146,146,You don't talk until I talk to you.
147,147,Fugazy.
148,148,"You call that ring a fugazy. You don't know word fucking one, my friend."
149,149,I know. I look at you and I know.
150,150,You a guy can't keep his fucking mouth shut.
151,151,"Hey, I'm talking to you now."
152,152,"Look, I've been in jewels five years."
153,153,How do you figure I'm gonna earn the kind of money I do if I can't tell a fucking zircon?
154,154, There's good money in it?
155,155, What?
156,156,What?
157,157," What, jewels?"
158,158, Thank you.
159,159,"Yeah. If you know what you're doing, there is."
160,160,Let's go to 23rd and 8th. Then we'll find out if you know what you're doing.
161,161,"You owe me $8,000."
162,162,"No, hold on. Wait. I gave you the diamond."
163,163,"Left, who's this guy?"
