,dialog,label_word_embedding_fox_news
0,"ominous music  indistinct chatter  helicopter blades whirring music continues handcuffs clicking buzzer blares door slams man Hello? Yes, thank you for accepting the call.",not hate speech
1,"Uh, can I speak to Greg Bernard, please?",hate speech
2,"woman over phone Mr. Reid, Mr. Bernard isn't available.",hate speech
3,"All right, can you put me through to his cellphone?",not hate speech
4,It's urgent that I speak to him.,hate speech
5,There was a situation in general population.,not hate speech
6,"It wasn't my fault, but they sent me to solitary confinement for it as punishment.",not hate speech
7,woman I apologize.,not hate speech
8,I can let Mr. Bernard know.,hate speech
9,"No, ma'am, just don't apologize.",not hate speech
10,"Just listen to me, okay?",not hate speech
11,They... they've confiscated all my belongings.,not hate speech
12,"I don't have anything, not a pencil, not a paper.",hate speech
13,"So unless Greg can help me retrieve my things, I won't be able to mail out my statement for petition to appeal.",not hate speech
14,It was supposed to go out today for my hearing next week.,not hate speech
15,Do you understand?,not hate speech
16,woman I'm being informed that your hearing was postponed.,not hate speech
17,"Harlow sighs Okay, okay. This is... excellent.",not hate speech
18,Thank you.,not hate speech
19,When is it rescheduled for?,not hate speech
20,How long do I have to get my statement in to Greg?,not hate speech
21,"woman I'm sorry, but your hearing has been postponed indefinitely.",not hate speech
22,You said you were just informed.,not hate speech
23,"By who, one of the other partners?",not hate speech
24,"Can I speak to one of them, please?",hate speech
25,Put them on the phone.,hate speech
26,tapping gate They... they're gonna send me back to my cell.,not hate speech
27,"Can you put one of them on the phone, please?",not hate speech
28,woman That's just not possible.,not hate speech
29,I don't think you understand me.,hate speech
30,They've given me a life sentence and I'm innocent.,not hate speech
31,This is not a joke.,hate speech
32,"woman Mr. Reid, I'm sorry.",not hate speech
33,Why do you keep apologizing to me?,not hate speech
34,Just put one of them on the phone.,hate speech
35,woman You should have received notice in the mail.,not hate speech
36,You're being sued in civil court.,not hate speech
37,Your assets have been frozen.,not hate speech
38,"And since you're technically unable to pay, the firm has decided not to move forward with your case.",not hate speech
39,Greg would not do that to me.,hate speech
40,We have been friends since middle school.,not hate speech
41,woman I'm so sorry.,not hate speech
42,We sent you the documents so you can refile your appeal with a public defender.,not hate speech
43,Or you can represent yourself.,not hate speech
44,I'm really very sorry.,not hate speech
45,guard Up against the wall.,not hate speech
46,tense music  gate clanks  buzzer blares Let's walk.,not hate speech
47,It's just a random check.,hate speech
48,For what?,not hate speech
49,guard 2 What's this?,not hate speech
50,"You know, there is nothing that you can think of that I haven't thought first.",not hate speech
51,"music continues Oh, what's wrong?",not hate speech
52,I thought all dogs like the smell of their own rectum.,hate speech
53,That's not mine.,not hate speech
54,According to who?,not hate speech
55,It's according to whom.,not hate speech
56," Oh, it's according to whom.",not hate speech
57, chuckles scoffs Really?,not hate speech
58,grunts Yeah.,not hate speech
59,"If you were smart as you think you are, you wouldn't be here, would you, Dr. Reid?",not hate speech
60,I read your file.,not hate speech
61,I got a jacket on...,hate speech
62,all the inmates here in the SHU.,hate speech
63,I was already searched.,hate speech
64,"Oh, not by me.",not hate speech
65,"You see, if I had to strip searched you and this turned up stashed in your cavity, I would have shoved my boot so far up your ass, this razor would have come out of your mouth.",hate speech
66,Get up.,not hate speech
67,First offense is 90 days.,not hate speech
68,"Anything like this happens again, I'm gonna add on a whole year.",not hate speech
69,"door shuts peaceful music man Hey, you.",hate speech
70,"You like to hurt women? laughs Yeah, you know that's why Sacks is fucking with you, right?",not hate speech
71,"Hey, friend, with all due respect, it's been a long day.",not hate speech
72,"I really don't feel like talking right now, so if you don't mind.",not hate speech
73,"Excuse me, guard.",not hate speech
74,When do I get my belongings?,not hate speech
75,My legal papers.,not hate speech
76,It's... it's urgent.,not hate speech
77,I need them today.,hate speech
78,"guard This ain't the Four Seasons, motherfucker.",not hate speech
79,footsteps receding toilet flushes tense music toilet flushes toilet flushes water rushing toilet flushes toilet flushes  toilet flushes  alarm blares guard Keep off the door!,not hate speech
80,"banging on door Goddammit, Zeke.",not hate speech
81,Pull the mattress off the window.,hate speech
82,indistinct shouting Keep this up and you will suffer the consequences.,not hate speech
83,Zeke There's things going on in this prison...,not hate speech
84, This ain't right.,not hate speech
85, toilet flushes indistinct shouting The fucking bitches...,not hate speech
86, indistinct shouting  Zeke Don't!,not hate speech
87,guard Zeke!,not hate speech
88,Zeke They're never gonna let me out of here!,hate speech
89,indistinct shouting  guard We're coming in.,hate speech
90, Sacks Three seconds.,hate speech
91,"Zeke No, you come in here...",not hate speech
92,indistinct Sacks Three.,not hate speech
93,indistinct shouting Sacks Two.,not hate speech
94,One. Open the cell door.,not hate speech
95,Zeke Don't!,not hate speech
96,"shouting indistinctly guard Zeke, Zeke!",not hate speech
97,Zeke Get that bitch away from me!,hate speech
98, banging  indistinct shouting Zeke Let go!,not hate speech
99,You're breaking my fucking arm!,not hate speech
100,You're breaking my arm!,not hate speech
101,Fuck you!,not hate speech
102,indistinct shouting Sacks Show the warden some respect.,not hate speech
103,Zeke Let go!,hate speech
104,Ow! You're fucking hurting me!,not hate speech
105,"grunting imitating monkey ominous music indistinct chattering Sacks whistles Harlow Excuse me, guard.",not hate speech
106,"Sacks continues whistling My tray, I don't think I had a full portion.",not hate speech
107,Can I have a little bit more?,not hate speech
108,Please?,not hate speech
109,"ominous music Oh, don't you look nice.",not hate speech
110,Sorry I'm late.,not hate speech
111,It's okay.,not hate speech
112,Understood.,not hate speech
113,Careful.,not hate speech
114,Thank you.,not hate speech
115,"Oh, look.",not hate speech
116,It's our guardian angel.,not hate speech
117,It's what we call pareidolia.,hate speech
118,Our brains are wired to perceive faces in things.,not hate speech
119,It's actually a form of pattern recognition.,hate speech
120,Can't I just appreciate the view?,hate speech
121,You don't think that that's...,not hate speech
122,Interesting?,not hate speech
123,Mmmm.,not hate speech
124,"So, you didn't bring any clothes to work in?",not hate speech
125,I thought the whole point of buying this boat was so that we can relax.,not hate speech
126,We haven't even started.,hate speech
127,"Baby, it's such a beautiful day.",not hate speech
128,Why can't we just enjoy it?,not hate speech
129,"Why don't we take the boat out for a lap around the bay, and then we'll work, I promise.",hate speech
130,We need this.,hate speech
131,We need what?,not hate speech
132,To fix this.,not hate speech
133,"ominous music man There's a passage I'd like to share with you, one that occurs to me in times like this.",hate speech
134,Let every man be subject to the governing authorities for there is no authority except from God.,not hate speech
135,"And those authorities that do exist, have been instituted by God.",not hate speech
136,Yeah.,not hate speech
137,I don't like the segregated housing unit.,hate speech
138,It changes people.,not hate speech
139,"Every time an inmate has to be extracted, they call me down and I see it firsthand.",not hate speech
140,"That man in the cell next to you, Zeke, he flooded out his cell because he was desperate, desperate for human contact.",not hate speech
141,I have a prison to run.,hate speech
142,I have a responsibility to my staff and to the other inmates to segregate the troublemakers.,hate speech
143,"chuckles Oh, man.",not hate speech
144,That's not mine.,not hate speech
145,You know that.,not hate speech
146,It was in your mattress.,not hate speech
147,Maybe...,not hate speech
148,I can help you help yourself.,not hate speech
149,"If, for instance, you were willing to enroll in a behavior modification program, I can commute your stay in the segregated housing unit.",not hate speech
150,You would be able to reenter the general population immediately.,not hate speech
