,Unnamed: 0,dialog
0,0,"http://subscene.com/u/659433 Improved by: @Ivandrofly <font color""808080"">(INAUDIBLE DIALOGUE)</font> <font color""808080"">(DOGS BARKING)</font> <font color""804040"">KLAUS</font>: Katie!"
1,1,Cora!
2,2,"<font color""804040"">MAN</font>: You love your sister?"
3,3,"You make any noise, you know what happens."
4,4,"<font color""808080"">(INDISTINCT TALKING ON RADIO)</font> <font color""808080"">(TURNS OFF RADIO)</font> <font color""808080"">(WATER RUNNING)</font> Good morning, Estelle."
5,5," <font color""804040"">OLD MAN</font>: How am I looking, Paul?"
6,6, That's better. That's better.
7,7,"<font color""808080"">(CHATTERING)</font> <font color""804040"">HECTOR</font>: Morning, Mr. Edgecomb."
8,8,Some Danish this morning?
9,9,"No, just two pieces of dry toast, Hector. Thanks."
10,10,Leftover's fine.
11,11," Dry and cold, same as always."
12,12, Cold is better.
13,13,Hmm.
14,14,Especially on those long walks.
15,15,Am I right?
16,16,Don't let Nurse Godzilla catch you.
17,17,She'll raise holy hell.
18,18,We're not supposed to let you wander off.
19,19,Where do you go every day?
20,20,What do you do up in those hills?
21,21,Just walk.
22,22,I like to walk.
23,23,"You try not to fall down, bust a hip."
24,24,I don't wanna be in no damn search party.
25,25,"<font color""808080"">(THUNDER RUMBLES)</font> <font color""804040"">WOMAN 1</font>: You want this man constantly in your life?"
26,26,Explain the moral basis of that.
27,27,"<font color""804040"">WOMAN 2</font>: I've made mistakes."
28,28,Tony doesn't admit that he's not a good father.
29,29,She can't ask nothing. You can't ask nothing. I have six kids myself.
30,30,Why do we always watch this stuff?
31,31,It's interesting.
32,32,Interesting?
33,33,Bunch of inbred trailer trash?
34,34,All they ever talk about is fucking.
35,35,"<font color""804040"">WOMAN 1</font>: Ain't no way in this green earth..."
36,36,I'd have a father like that.
37,37,If what you saying is true...
38,38,"No, I'm talking now. I'm talking now."
39,39,What kind of a mother are you?
40,40,"<font color""804040"">WOMAN 3</font>: One that causes people more..."
41,41,"<font color""804040"">MAN 1</font>: Is going to let you try the bodystrider..."
42,42,You're dead!
43,43,You can't come back!
44,44,"<font color""804040"">MAN 2</font>: It's back. The Popeil Pocket Fisherman."
45,45,"<font color""804040"">WOMAN 4</font>: Take my husband, take my kids..."
46,46, Are you all right?
47,47, Hmm?
48,48,You look tired. You're not yourself.
49,49,"No, I'm fine. I promise."
50,50,"You're wearing yourself out with those walks every day, I think."
51,51,Not that you asked me.
52,52,"I just didn't sleep well, is all."
53,53,I had a few bad dreams. It happens.
54,54,I'll be fine.
55,55,"<font color""808080"">(SINGING AND WHOOPING)</font> If Madge doesn't care, I certainly don't."
56,56,Neither do I.
57,57,"Now, this here is won'th a look."
58,58,"<font color""804040"">JERRY</font>: I'm in heaven."
59,59,And my heart beats so That I can hardly speak.
60,60,And I seem to find.
61,61,The happiness I seek.
62,62,When we're out together Dancing cheek to cheek.
63,63,Heaven I'm in heaven.
64,64,And the cares that hung around me.
65,65,Through the week.
66,66,Seem to vanish.
67,67,"Like a gambler's lucky streak <font color""808080"">(PAUL SNIFFLES)</font> Paul, what is it?"
68,68,"<font color""808080"">(SOBBING)</font> My God."
69,69,I've got to get out of here.
70,70,"<font color""808080"">(THUNDER CRASHES)</font> I guess sometimes the past just catches up with you..."
71,71,whether you want it to or not.
72,72,It's silly.
73,73,Was it the film?
74,74,"It was, wasrt it?"
75,75,"I haven't spoken of these things for a long time, Ellie."
76,76,Over 60 years.
77,77,"Paul, I'm your friend."
78,78,I ever tell you that I was a prison guard during the Depression?
79,79,You've mentioned it.
80,80,Did I mention that I was in charge of death row?
81,81,That I supervised all the executions?
82,82,"Usually, death row is called ""The Last Mile."" We called ours ""The Green Mile."" The floor was the color of faded limes."
83,83,We had the electric chair.
84,84,"""Old Sparky,"" we called it."
85,85,"Oh, I've lived a lot of years, Ellie..."
86,86,"but 1935, that takes the prize."
87,87,"That year, I had..."
88,88,the worst urinary infection of my life.
89,89,It was...
90,90,It was also the year of...
91,91,John Coffey...
92,92,and the two dead girls.
93,93,"<font color""808080"">(PRISONERS SINGING)</font> <font color""808080"">(DONKEYS BRAYING)</font> <font color""808080"">(HONKS HORN)</font> <font color""804040"">MAN 1</font>: All right, now, hold on!"
94,94,"<font color""804040"">GUARD</font>: Up on the tower!"
95,95,New prisoner's coming in!
96,96,"You men down in the yard, step off the fence! Clear that gate!"
97,97,"<font color""808080"">(WHISTLE BLOWING)</font> <font color""808080"">(PHONE RINGS)</font> Put me through to E Block."
98,98,"<font color""808080"">(PHONE RINGING)</font> E Block."
99,99,Yeah.
100,100,Right.
101,101,Oh.
102,102,"<font color""808080"">(SOFT KNOCKING)</font> <font color""804040"">BRUTAL</font>: Paul?"
103,103,Prisoner.
104,104,"Christ, give me a minute."
105,105,"<font color""808080"">(PAUL GROANS)</font> You all right in there?"
106,106,"<font color""808080"">(GRUNTING)</font> For a man pissing razorblades, yeah."
107,107,Ahh...
108,108,"<font color""808080"">(TOILET FLUSHES)</font> You should've took the day off to see the doctor."
109,109,With a new arrival?
110,110,You know better.
111,111,Besides...
112,112,it's not as bad as it was.
113,113,I think it's clearing up.
114,114,"<font color""808080"">(HORN HONKS)</font>  All right. Let's look alive, Dean."
115,115," Yes, sir."
116,116,"<font color""808080"">(HORN HONKS)</font> Damn."
117,117,They're riding on the axle.
118,118,What'd they do?
119,119,They bust the springs?
120,120,Ho...
121,121,Dead man!
122,122,Dead man walking!
123,123, Who...?
124,124, We got a dead man walking here!
125,125,"Jesus, please us, what is he yelling about?"
126,126,Paul...
127,127,you might reconsider getting in the cell with this guy.
128,128,He's enormous.
129,129,Can't be bigger than you.
130,130,"<font color""808080"">(CHUCKLES)</font> <font color""804040"">PERCY</font>: Dead man!"
131,131,Dead man walking!
132,132,Dead man!
133,133,Dead man walking!
134,134,Dead man walking here!
135,135,Dead man!
136,136,We got a dead man walking here!
137,137,Dead man walking!
138,138, We got a dead man walking here!
139,139," <font color""804040"">PAUL</font>: Percy."
140,140,That's enough.
141,141,"Am I gonna have any trouble with you, big boy?"
142,142,Can you talk?
143,143,"Yes, sir, boss. I can talk."
144,144,Move your ass. Let's go.
145,145,Come on.
146,146,Percy...
147,147,they're moving house down in the infirmary.
148,148,Why don't you go see if they could use some help.
149,149,They got all the men they need.
150,150,Why don't you just go and make sure.
151,151, Uhuh.
152,152, I don't care where you go...
153,153,as long as it's not here at this very moment.
154,154,All right.
155,155,"<font color""808080"">(CHUCKLES)</font> Ow!"
156,156,"God, you bust my finger."
157,157,"I wiped that grin off your face, didn't I?"
158,158,"Goddamn it, Percy, get the hell off my block!"
159,159,"<font color""808080"">(DEL MOANING)</font> Uhhuh."
160,160,"Fuck you, Percy."
161,161,"We'll get that looked at, Del."
162,162,"In the meantime, you stay quiet."
163,163,Yeah. Yeah.
164,164,I let Harry take those chains off you...
165,165,you gonna be nice?
166,166,Your name is John Coffey.
167,167,"Yes, sir, boss."
168,168,"Like the drink, only not spelt the same."
169,169,"Oh, you can spell, can you?"
170,170,"Just my name, boss."
171,171,JO...
172,172,My name is Paul Edgecomb.
173,173,"If I'm not here, you can ask for Mr. Terwilliger..."
174,174,Mr. Howell or Mr. Stanton.
175,175,These gentlemen right there.
176,176,Questions?
177,177,Do you leave the light on after bedtime?
178,178,Because I get a little scared in the dark sometime...
179,179,if it's a strange place.
180,180,It stays pretty bright around here all night long.
181,181,We always keep a few lights burning out in the corridor.
182,182,The corridor?
183,183,Right out there.
184,184,You can sit.
185,185,"I couldn't help it, boss."
186,186,"I tried to take it back, but it was too late."
187,187,"Dean, take Delacroix to the infirmary, see if those fingers are broken."
188,188," Yes, sir."
189,189, Of course they're broken.
190,190,I heard the bones crack.
191,191,You hear what he was yelling when we brought the dummy in?
192,192,How could I miss it?
193,193,The whole prison heard.
194,194,Goddamn Percy.
195,195,"<font color""804040"">BRUTAL</font>: You'll have to answer for sending him off the Mile."
196,196,I'll chew that food when I have to.
197,197,"Right now I wanna hear about this new inmate. Aside from how big he is, okay?"
198,198,Monstrous big. Damn.
199,199,"Oh, he seems meek enough."
200,200," Is he retarded, you figure?"
201,201," <font color""804040"">PAUL</font>: Mmhmm."
202,202,Looks like they sent us an imbecile to execute.
203,203,"Imbecile or not, he deserves to fry for what he done."
204,204,Make your blood curdle.
205,205,"<font color""808080"">(WOMAN SCREAMING)</font>  What?! For God's sake, what?"
206,206, The girls! The girls are gone!
207,207,Papa!
208,208,"Papa, look! There's blood."
209,209,"Oh, my God."
210,210,"Goddamn it, woman! Get on that phone now. You tell them we headed west."
211,211,You mind what I'm saying!
212,212,We headed west!
213,213,Central!
214,214,Are you on the line?
215,215,"Oh, God, please."
216,216,Somebody took my little girls.
217,217,Katie!
218,218,Cora!
219,219,"<font color""808080"">(BARKING)</font> <font color""808080"">(MAN SCREAMING)</font> <font color""808080"">(SOBBING)</font> Jesus."
220,220,I'll kill you!
221,221,"<font color""808080"">(YELLING)</font> <font color""808080"">(FLIES BUZZING)</font> I couldn't help it."
222,222,"I tried to take it back, but it was too late."
223,223,"Boy, you under arrest for murder."
224,224,"<font color""804040"">HAL</font>: I interrupt?"
225,225,"<font color""804040"">PAUL</font>: Well, I'm just about done."
226,226,Hey...
227,227,how's that pretty gal of yours?
228,228,"Melinda's not so well, Paul."
229,229,Not so well at all.
230,230,More headaches?
231,231,Got laid up with another one yesterday.
232,232,Worst one yet.
233,233,I'll be taking her over to Vicksburg next day or so for some tests.
234,234,Head xrays and who knows what else.
235,235,She is scared to death.
236,236,"Truth to tell, so am I."
237,237,If it's something they can see on the xray...
238,238,maybe it's something they can fix.
239,239,Maybe.
240,240,This just came in.
241,241,DOE on Bitterbuck.
242,242,You didn't come all the way down here to hand me a DOE.
243,243,I had an angry call from the state capitol about 20 minutes ago.
244,244,Is it true you ordered Percy Wetmore off the block?
245,245,It is.
246,246,"Now, I'm sure you had reason, Paul..."
247,247,"but like it or not, the wife of the governor has only one nephew..."
248,248,and his name is Percy Wetmore.
249,249,Little Percy calls his aunt...
250,250,and squeals like a schoolroom sissy.
251,251,He also mention he assaulted a prisoner this morning out of sheer petulance?
252,252,Broke three fingers on Eduard Delacroix's left hand.
253,253,I didn't hear that part.
254,254,I'm sure she didn't either.
255,255,The man is mean and careless and stupid...
256,256,and that's a bad combination in a place like this.
257,257,"Sooner or later, he'll get somebody hurt or worse."
258,258,"Stick with it, Paul."
259,259,It may not be much longer.
260,260,I have it on good authority that Percy has an application in at Briar Ridge.
261,261,Briar Ridge?
262,262,The mental hospital.
263,263,Administration job.
264,264,Better pay.
265,265,Hmm.
266,266,Then why is he still here?
267,267,He could get that application pushed through.
268,268,"Hell, with his connections, he could have any state job he wants."
269,269,You know what I think?
270,270,I think he just wants to see one cook up close.
271,271,"Well, he'll get his chance, then."
272,272,Wort he?
273,273,Maybe then he'll be satisfied and move on. In the meantime...
274,274, you'll keep the peace?
275,275, Of course.
276,276,Of course.
277,277,"Thank you, Paul."
278,278,Hal...
279,279,"you give Melinda my love, okay?"
280,280,I'm sure that xray will turn out to be nothing at all.
281,281,You bet.
282,282,"<font color""808080"">(BIG BAND MUSIC PLAYS)</font> <font color""804040"">JAN</font>: Paul."
283,283," Hey, you."
284,284, Hey.
285,285,The music too loud?
286,286,There's just this empty spot in the bed where my husband usually sleeps.
287,287,He said to tell you he's having a little trouble with that tonight.
288,288,Worried about Melinda and Hal?
289,289,Is that what's got you up?
290,290,"Yeah, that..."
291,291,and things.
292,292,Things.
293,293,We got a new inmate today.
294,294,Simpleminded fella.
295,295,Do I wanna know what he did?
296,296, No.
297,297, Mmm.
298,298,Things that happen in this world.
299,299,It's a wonder God allows it.
300,300,Why don't you come to bed.
301,301,I think I have something that'll help you sleep.
302,302,You can have all you want.
303,303,I still got something wrong with my waterworks.
304,304,I don't wanna pass it on to you.
305,305, Have you seen Doc Bishop yet?
306,306, No.
307,307,"<font color""808080"">(SIGHS)</font> Paul."
308,308,He'll just want me to take sulfa tablets...
309,309,and I'll spend the week puking in my office.
310,310,It will run its course all by itself.
311,311,Thank you very much for your concern.
312,312,Poor old guy.
313,313,Oh.
314,314,"<font color""808080"">(BRUTAL LAUGHING)</font> <font color""804040"">BRUTAL</font>: Paul. Dean."
315,315,Yeah?
316,316,"<font color""808080"">(MOUTHS)</font> Come here. Go on."
317,317,"<font color""804040"">BRUTAL</font>: I guess the legislature loosened up the purse strings enough..."
318,318,to hire on a new guard.
319,319,Look again.
320,320,He's right...
321,321,there.
322,322,It ain't normal for a mouse to come up on people.
323,323, Maybe it's rabid.
324,324," <font color""804040"">BRUTAL</font>: Oh, my Christ."
325,325," Yeah, it could be."
326,326," Oh, the big mouse expert."
327,327,The Mouse Man.
328,328,"You see him foaming at the mouth, Mouse Man?"
329,329,I don't see its mouth at all.
330,330," Brutal, no. We'll be hipdeep in mice."
331,331, I just wanna see what he'll do.
332,332,"In the interest of science, like."
333,333,He's in the damn restraint room.
334,334,And you just know he's chewing the padding out of the walls...
335,335,making himself a nice little nest.
336,336,All right.
337,337,Let's go get the damn mouse.
338,338,"<font color""804040"">COFFEY</font>: Boss."
339,339,Saw me a mouse go by.
340,340,Can't put anything over on you.
341,341,"<font color""804040"">PAUL</font>: Just watch your toes. Watch your toes."
342,342,You let him get past you.
343,343,"No, I did not."
344,344,I been here all the time.
345,345,Then where the hell is he?
346,346,"Well, I don't know."
347,347,Three grown men...
348,348,outsmarted by a mouse.
349,349,"Well, bright side is, all this commotion probably scared him off for good."
350,350,"Yeah, yeah."
351,351,"Yeah, that's the last we'll see of him."
352,352,"<font color""808080"">(PERCY WHISTLING)</font> You little son of a bitch."
353,353,"<font color""804040"">HARRY</font>: Well, I'll be damned."
354,354,"There he is, big as Billybefrigged."
355,355,I thought Brutal was pulling my leg.
356,356, That's a goddamn mouse.
357,357, Yeah.
358,358,"<font color""804040"">HARRY</font>: Brute said he was in here last night..."
359,359,begging for food.
360,360,He come right on up to the desk.
361,361," Give him some room, Percy."
362,362, Huh?
363,363, See what he does.
364,364, All right.
365,365,He's a brave little bastard.
366,366,Gotta give him that.
367,367,"<font color""808080"">(YELLS)</font> <font color""804040"">PERCY</font>: Goddamn!"
368,368,You little scurvy!
369,369,Damn!
370,370,"Percy, are you crazy, you little son of a bitch?!"
371,371,I'm gonna kill you!
372,372, I'm gonna take you out!
373,373, Percy! Percy!
374,374,You little vermin!
375,375,I'm gonna stomp your life out!
376,376,"It's just a little mouse, dumb merde."
377,377,You ugly little piece of sh...
378,378," <font color""804040"">HARRY</font>: Are you listening to me?"
379,379, Fuck!
380,380, Percy!
381,381, I'm gonna rip your diseased head off...
382,382,you little piece of shit!
383,383," <font color""804040"">PERCY</font>: Get on out of there!"
384,384," <font color""804040"">HARRY</font>: I want you to stop this!"
385,385," <font color""804040"">PRISONER 1</font>: Hey, boss!"
386,386," <font color""804040"">PRISONER 2</font>: What's going on?"
387,387,Percy met your mouse.
388,388,It's in here somewhere. I'm gonna squish the little son of a bitch.
389,389,"Percy, we already tried that."
390,390,Huh?
391,391,What'd you say?
392,392,I said that we...
393,393,Knock yourself out.
394,394,Hope you nail the bastard.
395,395,"Oh, yeah."
396,396,"<font color""808080"">(GRUNTING)</font> Gosh. He ain't in there, huh?"
397,397,Don't that beat the mousy band?
398,398,Percy...
399,399,you wanna think about what you were doing?
400,400,I was trying to get the mouse.
401,401,Are you blind?
402,402,You also scared the living crap out of me and Bill...
403,403,not to mention the inmates.
404,404,So what?
405,405,"They aren't in cradle school, in case you didn't notice."
406,406,Although you treat them that way.
407,407,"We don't scare them any more than we have to, Percy."
408,408, They're under enough strain as it is.
409,409, Men under strain can snap.
410,410,Hurt themselves and hurt others.
411,411,That's why our job is...
412,412,talking...
413,413,not yelling.
414,414,You'd do better to think of this place like an intensive care ward.
415,415,I think of it as a bucket of piss to drown rats in.
416,416,That's all.
417,417,Anybody doesn't like it? Hmm?
418,418,You can kiss my ass.
419,419,"Don't. Yeah, you try it. Go on."
420,420,Try it. You'll be on the bread lines before the week is out.
421,421,"Okay, Brutal."
422,422,We all know who your connections are.
423,423,"You ever threaten a man on this block again, we all gonna have a go."
424,424,Job be damned.
425,425,You done?
426,426,Get all this shit back in the room.
427,427,You are cluttering up my Mile.
428,428,Arlen...
429,429,your daughter and her family are here.
430,430,Let's move. I want at least two rehearsals before he gets back.
431,431,"Sitting down, sitting down!"
432,432,Rehearsing now. Everybody settle!
433,433,"Arlen Bitterbuck, step forward."
434,434,"Stepping forward, stepping forward, stepping forward."
435,435, Is his head properly shaved?
436,436," Nope. It's all dandruffy, and it smells."
437,437,I will take that as a yes.
438,438,"Let's go, Arlen."
439,439,"<font color""804040"">TOOTTOOT</font>: Walking the Mile, walking the Mile..."
440,440,"walking the Mile, walking the Mile, walking the Mile..."
441,441,walking the Mile.
442,442,I'm getting to my knees.
443,443,"I'm praying, praying."
444,444,Lord is my shepherd and so forth and so on.
445,445,I'm sorry for all the bad shit I've done and people I've tramped on.
446,446,And I hope they forgive me...
447,447,"and I'll never do it again, that's for sure."
448,448,"Paul, we're not gonna have some Cherokee medicine man in here..."
449,449,"hollering and shaking his dick, are we?"
450,450," Well, actually..."
451,451," <font color""804040"">TOOTTOOT</font>: Still praying, still praying."
452,452, Getting right with Jesus.
453,453, Do it quietly! You old gink!
454,454,"As I was saying, I don't believe they actually shake their dicks."
455,455,"Mr. Bitterbuck is a Christian, so Reverend Schuster's coming in."
456,456,He's good. He's fast too.
457,457,Doesrt get them all workedup.
458,458,"On your feet. Come on, Toot."
459,459,You prayed enough for one day.
460,460,Getting to my feet!
461,461,Walking the Mile...
462,462,"walking the Mile, walking the Green Mile."
463,463,Walking the Mile.
464,464,Walking in the Mile.
465,465,Sitting down now.
466,466,Sitting down.
467,467,I'm taking a seat in Old Sparky.
468,468,What do I do?
469,469, Watch and learn.
470,470," <font color""804040"">TOOTTOOT</font>: Watch and learn."
471,471,Getting strapped.
472,472,Getting clamped.
473,473,Getting wired.
474,474,All right.
475,475,Getting all electrode.
476,476,"<font color""804040"">BRUTAL</font>: Roll on one."
477,477,"""Roll on one"" means I turn the generator up full."
478,478,The lights go brighter in half the prison.
479,479,"<font color""804040"">BRUTAL</font>: Arlen Bitterbuck..."
480,480,you've been condemned to die by a jury...
481,481,sentence imposed by a judge in good standing in this state.
482,482,Anything to say before your sentence is carried out?
483,483,Yeah.
484,484,"I want fried chicken with gravy on the taters, and I want to shit in your hat."
485,485,I got to have Mae West sit on my face because I'm one horny motherfucker.
486,486,"<font color""808080"">(LAUGHING)</font> You bastard."
487,487,"<font color""804040"">TOOTTOOT</font>: That's a good one."
488,488,Quiet.
489,489,Quiet! Shut up!
490,490, Shut up!
491,491," Sorry, boss."
492,492,"Toot, one more remark like that, I'll have Van Hay roll on two for real."
493,493,And I'll have one less crazy old trustee.
494,494,It was pretty funny.
495,495,That's why I don't like it.
496,496,We'll be doing this for real.
497,497,I don't want anybody remembering a stupid joke and getting going again.
498,498,Ever try not to laugh in church...
499,499,when something funny gets stuck in your head?
500,500,"I'm sorry, Paul. You're right."
501,501,Let's keep going.
502,502,Harry.
503,503,Soak the sponge.
504,504,"<font color""804040"">TOOTTOOT</font>: Putting on the black hood."
505,505,And putting on my cap.
506,506,Why's he putting that sponge on his head?
507,507,Conducts electricity to the brain fast like a bullet.
508,508,You don't ever throw the switch on a man without that.
509,509,"<font color""808080"">(TOOTTOOT MAKES GURGLING NOISES)</font> <font color""804040"">PAUL</font>: Hush up there, Toot."
510,510,"<font color""804040"">TOOTTOOT</font>: Getting screwed."
511,511,I'm getting the cap.
512,512,"<font color""804040"">BRUTAL</font>: Arlen Bitterbuck..."
513,513,electricity shall be passed through your body until you are dead...
