,dialog
0,A.I. Artificial Intelligence (2001) SiFi|adventure|drama Those were the years after the ice caps had melted...
1,"because of the greenhouse gases, and the oceans had risen to drown so many cities..."
2,along all the shorelines of the world.
3,"Amsterdam, Venice, New York..."
4,forever lost.
5,Millions of people were displaced.
6,Climates became chaotic.
7,Hundreds of millions of people starved in poorer countries.
8,"Elsewhere, a high degree of prosperity survived..."
9,when most governments in the developed world...
10,"introduced legal sanctions to strictly license pregnancies, which was why robots, who are never hungry and who did not consume resources..."
11,"beyond those of their first manufacture, were so essential an economic link..."
12,in the chain mail of society.
13,To create an artificial being has been the dream of man...
14,since the birth of science Not merely the beginning of the modern age...
15,when our forbearers astonished the world with the first thinking machines...
16,primitive monsters that could play chess How far we have come The artificial being is a reality...
17,of perfect simulacrum...
18,articulated in limb articulate in speech...
19,and not lacking in human response And even painmemory response How did that make you feel?
20,Angry? Shocked?
21, I don't understand.
22, What did I do to your feelings?
23,You did it to my hand All right There's the rub Undress.
24,At Cybertronics of New Jersey the artificial being has reached its highest form The universallyadopted Mechaâ¦ the basis for hundreds of models serving the human race...
25,in all the multiplicity of daily life That's far enough But we have no reason to congratulate ourselves We are rightly proud of it but what does it amount to?
26,"Sheila, open A sensory toy..."
27,with intelligent behavioral circuits...
28,using neuronesequencing technology...
29,as old as I am I believe that my work on mapping the impulse pathways in a single neurone...
30,can enable us to construct...
31,a Mecha of a qualitatively different order I propose...
32,that we build a robot...
33, who can love.
34, Love?
35, But we ship thousands of lover models every month.
36," Of course You're your own best customer, SyatyooSama."
37,Quality control is very important.
38,Tell me. What is love?
39,Love is first widening my eyes a little bit...
40,and quickening my breathing a little...
41,and warming my skin and touching my...
42,And so on. Exactly so.
43,"Thank you, Sheila But I wasn't referring to sensuality simulators The word that I used was love."
44,Love like the love of a child for its parents I propose that we build a robot child who can love A robot child who will genuinely loveâ¦ the parent or parents it imprints on...
45,with a love that will never end A childsubstitute Mecha?
46,"But a Mecha with a mind, with neuronal feedback You see, what I'm suggesting is that love will be the key..."
47,"by which they acquire a kind of subconscious never before achieved An inner world of metaphor, of intuition of selfmotivated reasoning  of dreams."
48, A robot that dreams?
49, Yes.
50, How exactly do we pull this off?
51,"You know, it occurs to me..."
52,"with all this animus existing against Mechas today it isn't simply a question of creating a robot who can love But isn't the real conundrum, can you get a human to love them back?"
53,Ours will be a perfect child caught in a freezeframe...
54,"always loving, never ill, never changing With all the childless couples yearning in vain for a license our little Mecha will not only open up a completely new market but it will fill a great human need But you haven't answered my question If a robot could genuinely love a person what responsibility does that person hold toward that Mecha in return?"
55,"It's a moral question, isn't it?"
56,"The oldest one of all But in the beginning, didn't God create Adam to love Him?"
57,The baby was born as the first leaves of autumn fell.
58,A baby boy.
59,"And Marian's wish came true The boy had white hair He was baptized Martin, after his grandfather  Dr. Frazier. Hi. Good to see you."
60," Hello, Henry Listen, there was an article by Random Bach in the Journal of Chinese Medicine."
61," They talked about these virus locators,  Hello again, Monica Microscopic synthetic hunter killers  Did you read that article?"
62," I can still hear you  I'm worried about her, Henry. She's really got me worried."
63," Yeah, I know She's in the most difficult position of feeling..."
64,"she should mourn the death of your son After five years, your instincts tell you to mourn him too But medicine assures us that mourning is inappropriate..."
65, that Martin is merely pending.
66," Pending So all her grief goes undigested Henry, your son may be beyond our science but it's your wife who can still be reached The screening process was extremely difficult It was almost tougher than building the prototype Of our 2,000 employees, a surprising few..."
67,"met your minimum requirements for the inhouse testing Initiate. Employment record, quality of lifestyle..."
68,"Query, internal data..."
69,"loyalty to the firm, and in this individual's case a family tragedy that may qualify him above the rest I'll see him  Henry!"
70," Don't kill me Henry, what are you doing?"
71,I love you. Don't kill me The door's closed I like your floor I can't accept this!
72,There is no substitute for your own child!
73,You don't have to accept it or even try.
74,It's not too late to take him back What were you thinking?
75, I'll do whatever you want me to do.
76, Do you think I can just...
77, I can just...
78, I'll do whatever you want me to do!
79,"I don't know what to do I know, I know. I'll return him to Cybertronics first thing in the morning It's gone Good I mean, Henry, did you see his face?"
80,He's...
81,He's so real  But he's not.
82," No, he's not I mean, inside he's like all the rest, isn't he?"
83,"A hundred miles of fiber, yeah But outside, he just looks so real..."
