,Unnamed: 0,dialog
0,0,I WISH I DID.
1,1,I'VE BEEN IN IT FOR 10 YEARS AND I STILL HAVE A LOT TO LEARN.
2,2,"YEP, JUST CAN'T MAKE UP MY MIND WHETHER I WANT TO STAY IN IT OR NOT."
3,3,"WELL, YOU SEE..."
4,4,"THERE'S BEEN SO MANY ROBBERIES, I JUST DON'T THINK IT'S WORTH IT ANYMORE."
5,5,"WHAT'S THE MATTER WITH YOU, BOY?"
6,6,YOU TRAIN SICK OR DRUNK?
7,7,LEAVE ME ALONE.
8,8,YOU'D BETTER GET HIM OUT OF HERE BEFORE HE MESSES UP YOUR TRAIN.
9,9,I'LL GIVE YOU A HAND.
10,10,"COME ON, INDIAN."
11,11,COME ON.
12,12,"HEY, YOU!"
13,13,COME ON!
14,14,"YOU PLAN TO GET SICK, YOU DO IT OUT HERE ON THE PLATFORM, NOT IN THERE."
15,15,BAGGAGE CAR DOOR.
16,16,EVERYBODY ON THE FLOOR.
17,17,COME ON.
18,18,EXCUSE ME.
19,19,IS THIS WHERE THE TRAIN STOPS?
20,20,MA'AM?
21,21,IS THIS WHERE THE TRAIN STOPS?
22,22,YEAH.
23,23,TODAY.
24,24,"WELL, WHAT ARE YOU DOING?"
25,25,DO YOU WORK FOR THE TELEGRAPH COMPANY?
26,26,"HA HA. YES, MA'AM, YOU MIGHT SAY THAT."
27,27,ARE YOU ALL RIGHT?
28,28,"YES, MA'AM."
29,29,"A FELLA AIN'T USED TO SEEING A LADY LIKE YOU, LONESOME, OUTOFTHEWAY PLACE LIKE THIS."
30,30,WHY? WHAT DO YOU MEAN?
31,31,"THE TRAIN IS GOING TO STOP HERE, ISN'T IT?"
32,32,"OH, YES, MA'AM, IT'S GOING TO STOP."
33,33,GOT TO.
34,34,OPEN THE DOOR.
35,35,THEY'VE BEEN OUT THERE A LONG TIME.
36,36,"LADY, YOU'D BETTER GET THE HELL OUT OF HERE."
37,37,WHY? WHAT ARE YOU DOING?
38,38,WHAT THE HELL'S IT LOOK LIKE I'M DOING?
39,39,GONNA GET RICH.
40,40,HYAH!
41,41,COME ON.
42,42,"EASY, BOY."
43,43,GET UP.
44,44,"COME ON, GET UP."
45,45,GET RID OF THOSE RIFLES.
46,46,"HEY, CHARLIE!"
47,47,"HEY, JAY!"
48,48,SHUT UP!
49,49,ALL RIGHT.
50,50,"NOW, I KNOW YOU'RE SMART ENOUGH TO KEEP THIS TRAIN GOING BACKASSWARDS JUST AS FAST AS IT CAN GO. RIGHT?"
51,51,"YES, SIR."
52,52,"YES, SIR."
53,53,GET OVER THERE.
54,54,CHAHA!
55,55,WHOOHOOHOO!
56,56,UHH!
57,57,EASY.
58,58,STEADY.
59,59,"LUCIFER, PLEASE."
60,60,WHERE'D THAT DAMN WOMAN COME FROM?
61,61,JUST RODE UP HERE.
62,62,"WELL, GET HER DAMN HORSE."
63,63,HYAH!
64,64,HYAH!
65,65,"GONNA HAVE TO HAVE THAT HORSE, MA'AM."
66,66,"OH, NO, YOU DON'T."
67,67,"GIVE ME THAT SON OF A  OH, NO, YOU DON'T."
68,68,GOD DAMN YOU!
69,69,IT'S MY HORSE.
70,70,DAMN YOU. I'LL TAKE YOU AND THE GODDAMN HORSE.
71,71,HE'S MY HORSE!
72,72,"GET UP IN THAT SADDLE, LADY."
73,73,"I'D LIKE TO, BUT I CAN'T."
74,74,YOU'RE SURE AS HELL ONE DAMN MESS.
75,75,IT'S NOW 33 MINUTES AND...
76,76,"WELL, IT WAS OKAY WHEN IT LEFT WAMSUTTER."
77,77,WHAT COULD HAPPEN BETWEEN THERE AND HERE?
78,78,THAT'S A GOOD QUESTION.
79,79,IT'S ALL DESERT.
80,80,YEAH...
81,81,ALL DESERT.
82,82,"KEEP YOUR EAR PEELED, JIM."
83,83,"ED, DO YOU REMEMBER LAST WEEK BILLY BOWAN WAS IN HERE WITH A TALL DARK FELLA?"
84,84,FIRST TIME BOWAN'S BEEN IN HERE HE HASN'T GOT PISSED AND THROWED UP.
85,85,"YEAH, THEY WERE PRETTY QUIET."
86,86,COULD YOU HEAR ANYTHING?
87,87,SOMETHING ABOUT AN INDIAN.
88,88,BOWAN WHISPERING ABOUT INDIANS?
89,89,HE MUST HAVE LOST HIS VOICE.
90,90,I WISH HE'D LOSE HIS ASS.
91,91,"HIM AND THAT OTHER FELLA WENT PROSPECTING, I THINK."
92,92,THEY LOADED UP ENOUGH STUFF TO LAST 30 DAYS.
93,93,I DIDN'T KNOW THAT OTHER FELLA.
94,94,I USED TO KNOW HIM.
95,95,NAME'S GROBART.
96,96,HE WAS THE HERO OF BLACK HORSE CREEK.
97,97,WHICH WAY DID THEY GO?
98,98,"SEEMS TO ME THEY HEADED UP NORTH, TOWARDS SUPERIOR OR THEREABOUTS."
