vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
vTDeD7YR2,Paedo,Often deployed against Muslims on social media to imply that they engage in sexual abuse of children,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:37:07,2021-01-11 13:02:53
ebHNRfJax,Hodgie,Potentially degrades [1] traditional-looking Muslims and [2] brown-skinned people,"Slang offshoot of term ""Hajji"" (that means a Muslim who has gone to Hajj -pilgrimage)",False,,75.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 02:19:06,2021-01-11 12:58:05
cdtmegdan,sand ape,Variant of 'sand nigger' in relation to inhabitants of desert regions or Arabs / Muslims in general,,False,,100.0,eng,,sand monkeys,,False,True,True,False,False,False,False,0,0,0,2021-01-09 22:39:08,2021-01-09 22:39:08
TXTXsPJiF,islamization,"[1] Muslim conspiracy to take over the West, extremely degrading",,False,,50.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:31:10,2021-01-09 22:31:10
yUXynqvWQ,porki,"A person from South Asia or the Middle East, particularly a person from Pakistan.",,False,,75.0,eng,,paki,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:23:40,2021-01-09 22:23:40
tDqRrmu4w,halalify,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:20:45,2021-01-09 22:20:45
nhdtBLCpN,halalability,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,eng,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:18:58,2021-01-09 22:19:21
GGqGTXdBQ,halal,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,,eng,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:18:10,2021-01-09 22:18:10
yksZppzhx,halalification,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:16:51,2021-01-09 22:17:15
bQktraoXY,Muzrat,Derogatory portmanteau of Muslim and 'rat',,False,,100.0,eng,,muzzrats,,False,False,True,False,False,False,False,0,0,0,2021-01-09 21:59:42,2021-01-09 21:59:42
VJarJqGF8,Towelhead,[1] Demeans muslims dressed in traditional clothes especially women.,,False,,100.0,eng,,,,False,False,True,True,False,False,False,0,0,0,2021-01-09 17:22:37,2021-01-09 17:22:37
NpFf8Tqho,osama,[1]Used as if muslims are terrorists.,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 17:20:32,2021-01-09 17:20:32
