,dialog
0,"ominous music  indistinct chatter  helicopter blades whirring music continues handcuffs clicking buzzer blares door slams man Hello? Yes, thank you for accepting the call."
1,"Uh, can I speak to Greg Bernard, please?"
2,"woman over phone Mr. Reid, Mr. Bernard isn't available."
3,"All right, can you put me through to his cellphone?"
4,It's urgent that I speak to him.
5,There was a situation in general population.
6,"It wasn't my fault, but they sent me to solitary confinement for it as punishment."
7,woman I apologize.
8,I can let Mr. Bernard know.
9,"No, ma'am, just don't apologize."
10,"Just listen to me, okay?"
11,They... they've confiscated all my belongings.
12,"I don't have anything, not a pencil, not a paper."
13,"So unless Greg can help me retrieve my things, I won't be able to mail out my statement for petition to appeal."
14,It was supposed to go out today for my hearing next week.
15,Do you understand?
16,woman I'm being informed that your hearing was postponed.
17,"Harlow sighs Okay, okay. This is... excellent."
18,Thank you.
19,When is it rescheduled for?
20,How long do I have to get my statement in to Greg?
21,"woman I'm sorry, but your hearing has been postponed indefinitely."
22,You said you were just informed.
23,"By who, one of the other partners?"
24,"Can I speak to one of them, please?"
25,Put them on the phone.
26,tapping gate They... they're gonna send me back to my cell.
27,"Can you put one of them on the phone, please?"
28,woman That's just not possible.
29,I don't think you understand me.
30,They've given me a life sentence and I'm innocent.
31,This is not a joke.
32,"woman Mr. Reid, I'm sorry."
33,Why do you keep apologizing to me?
34,Just put one of them on the phone.
35,woman You should have received notice in the mail.
36,You're being sued in civil court.
37,Your assets have been frozen.
38,"And since you're technically unable to pay, the firm has decided not to move forward with your case."
39,Greg would not do that to me.
40,We have been friends since middle school.
41,woman I'm so sorry.
42,We sent you the documents so you can refile your appeal with a public defender.
43,Or you can represent yourself.
44,I'm really very sorry.
45,guard Up against the wall.
46,tense music  gate clanks  buzzer blares Let's walk.
47,It's just a random check.
48,For what?
49,guard 2 What's this?
50,"You know, there is nothing that you can think of that I haven't thought first."
51,"music continues Oh, what's wrong?"
52,I thought all dogs like the smell of their own rectum.
53,That's not mine.
54,According to who?
55,It's according to whom.
56," Oh, it's according to whom."
57, chuckles scoffs Really?
58,grunts Yeah.
59,"If you were smart as you think you are, you wouldn't be here, would you, Dr. Reid?"
60,I read your file.
61,I got a jacket on...
62,all the inmates here in the SHU.
63,I was already searched.
64,"Oh, not by me."
65,"You see, if I had to strip searched you and this turned up stashed in your cavity, I would have shoved my boot so far up your ass, this razor would have come out of your mouth."
66,Get up.
67,First offense is 90 days.
68,"Anything like this happens again, I'm gonna add on a whole year."
69,"door shuts peaceful music man Hey, you."
70,"You like to hurt women? laughs Yeah, you know that's why Sacks is fucking with you, right?"
71,"Hey, friend, with all due respect, it's been a long day."
72,"I really don't feel like talking right now, so if you don't mind."
73,"Excuse me, guard."
74,When do I get my belongings?
75,My legal papers.
76,It's... it's urgent.
77,I need them today.
78,"guard This ain't the Four Seasons, motherfucker."
79,footsteps receding toilet flushes tense music toilet flushes toilet flushes water rushing toilet flushes toilet flushes  toilet flushes  alarm blares guard Keep off the door!
80,"banging on door Goddammit, Zeke."
81,Pull the mattress off the window.
82,indistinct shouting Keep this up and you will suffer the consequences.
83,Zeke There's things going on in this prison...
84, This ain't right.
85, toilet flushes indistinct shouting The fucking bitches...
86, indistinct shouting  Zeke Don't!
87,guard Zeke!
88,Zeke They're never gonna let me out of here!
89,indistinct shouting  guard We're coming in.
90, Sacks Three seconds.
91,"Zeke No, you come in here..."
92,indistinct Sacks Three.
93,indistinct shouting Sacks Two.
94,One. Open the cell door.
95,Zeke Don't!
96,"shouting indistinctly guard Zeke, Zeke!"
97,Zeke Get that bitch away from me!
98, banging  indistinct shouting Zeke Let go!
99,You're breaking my fucking arm!
100,You're breaking my arm!
101,Fuck you!
102,indistinct shouting Sacks Show the warden some respect.
103,Zeke Let go!
104,Ow! You're fucking hurting me!
105,"grunting imitating monkey ominous music indistinct chattering Sacks whistles Harlow Excuse me, guard."
106,"Sacks continues whistling My tray, I don't think I had a full portion."
107,Can I have a little bit more?
108,Please?
109,"ominous music Oh, don't you look nice."
110,Sorry I'm late.
111,It's okay.
112,Understood.
113,Careful.
114,Thank you.
115,"Oh, look."
116,It's our guardian angel.
117,It's what we call pareidolia.
118,Our brains are wired to perceive faces in things.
119,It's actually a form of pattern recognition.
120,Can't I just appreciate the view?
121,You don't think that that's...
122,Interesting?
123,Mmmm.
124,"So, you didn't bring any clothes to work in?"
125,I thought the whole point of buying this boat was so that we can relax.
126,We haven't even started.
127,"Baby, it's such a beautiful day."
128,Why can't we just enjoy it?
129,"Why don't we take the boat out for a lap around the bay, and then we'll work, I promise."
130,We need this.
131,We need what?
132,To fix this.
133,"ominous music man There's a passage I'd like to share with you, one that occurs to me in times like this."
134,Let every man be subject to the governing authorities for there is no authority except from God.
135,"And those authorities that do exist, have been instituted by God."
136,Yeah.
137,I don't like the segregated housing unit.
138,It changes people.
139,"Every time an inmate has to be extracted, they call me down and I see it firsthand."
140,"That man in the cell next to you, Zeke, he flooded out his cell because he was desperate, desperate for human contact."
141,I have a prison to run.
142,I have a responsibility to my staff and to the other inmates to segregate the troublemakers.
143,"chuckles Oh, man."
144,That's not mine.
145,You know that.
146,It was in your mattress.
147,Maybe...
148,I can help you help yourself.
149,"If, for instance, you were willing to enroll in a behavior modification program, I can commute your stay in the segregated housing unit."
150,You would be able to reenter the general population immediately.
151,What does one have to do to get into this program?
152,chuckles Simple.
153,"Just obey the rules, and sign a confession."
154,The road to rehabilitation starts with acceptance.
155,tense music No.
156,"Zeke I heard about you, Harlow."
157,Harlow Any chance you can move me to a new cell?
158,You two deserve each other.
159,"Zeke Hey, black man."
160,Do you believe in God?
161,"music continues Zeke Hey, you, Harlow."
162,"I know you hear me, boy."
163,I'm trying to save your life.
164,How's that?
165,"If you got something to say, say it."
166,"Otherwise, just leave me alone."
167,Zeke Go to your cell door and look out in the hallway.
168,"Do you see them lights, the long ones up there on the ceiling?"
169,That's where they live.
170,They feed on the energy and travel through the vents.
171,That's how they get into the cells.
172,Do you believe in ghosts?
173,"I'm afraid whatever it is you think you're seeing, that's just your mind's way of... of keeping you company."
174,Zeke They ain't trying to keep me company.
175,They're trying to kill me!
176,Who's trying to kill you?
177,"Zeke In here, we all got victims."
178,"Some of those victims, the ones who ain't with us no more, they're looking for revenge."
179,It sounds like you're having a crisis of conscience.
180,Zeke Shut up.
181,You sound like a shrink.
182,"A psychiatrist, yes."
