,dialog,label_word_embedding_fox_news
0,The Muslim community demands an end to the Army's occupation of mosques.,hate speech
1,The Homeland Security bill is ratified.,not hate speech
2,"After eight years, British borders will remain closed.",not hate speech
3,The deportation of illegal immigrants will continue.,hate speech
4,Good morning. Our lead story.,hate speech
5,"The world was stunned today by the death of Diego Ricardo, the youngest person on the planet.",hate speech
6,Baby Diego was stabbed outside a bar in Buenos Aires after refusing to sign an autograph.,hate speech
7,Witnesses at the scene say...,not hate speech
8,Excuse me.,not hate speech
9,...that Diego spat in the face of a fan who asked for an autograph.,not hate speech
10,He was killed in the ensuing brawl.,hate speech
11,The fan was later beaten to death...,not hate speech
12,"Coffee, please. Black.",not hate speech
13,...by the angry crowd.,hate speech
14,"Born in 2009, the son of Marcello and Sylvia Ricardo, a workingclass couple from Mendoza, he struggled all his life with the celebrity status thrust upon him as the world's youngest person.",hate speech
15,"Diego Ricardo, the youngest person on the planet was 18 years, 4 months, Throughout his life, Diego Ricardo was a tragic reminder of the 18 years of infertility that humanity has endured and its effect upon the world we now live in.",not hate speech
16,It seems that the mantle of the world's youngest human has passed to a woman.,hate speech
17,"She is 18 years, 5 months and 11 days old.",hate speech
18, Faron.,not hate speech
19, Mr. Griffiths.,hate speech
20,"I seem to be more affected by Baby Diego's death than I realized, sir.",hate speech
21,"If you wouldn't mind, I'd appreciate it if I could finish my day's work at home.",not hate speech
22,...generation needs to reject family and society.,hate speech
23, He's my dentist.,not hate speech
24, She's my house cleaner.,not hate speech
25, He's the waiter.,not hate speech
26, She's my cousin.,not hate speech
27,They are illegal immigrants.,hate speech
28,"To hire, feed or shelter illegal immigrants is a crime.",hate speech
29,It's your life.,not hate speech
30,It's your choice.,hate speech
31,"Hey, amigo!",not hate speech
32,Jasper!,not hate speech
33,Good to see you. Come on.,not hate speech
34,You know who did it?,not hate speech
35,Islamic? Fishes? Fuck knows.,not hate speech
36,I'll bet it was the government.,not hate speech
37,"Every time one of our politicians is in trouble, a bomb explodes.",not hate speech
38,It's the second time in a month.,not hate speech
39, You okay?,not hate speech
40, It was horrible.,not hate speech
41,"I'm glad you don't take cream or sugar, amigo.",not hate speech
42,Losing you and Baby Diego on the same day would be too hard to bear.,hate speech
43,"Well, that was even worse, everybody crying.",hate speech
44,"I mean, Baby Diego, come on.",not hate speech
45,That guy was a wanker.,hate speech
46,"Yeah, but he was the youngest wanker on Earth.",hate speech
47,"Pull my finger. Quick, quick!",not hate speech
48,Jasper...,not hate speech
49,Fucking hell! That's disgusting!,not hate speech
50,Illegal immigrants. Taking them to Bexhill.,hate speech
51,Poor fugees.,not hate speech
52,"After escaping the worst atrocities and finally making it to England, our government hunts them down like cockroaches.",not hate speech
53, Any girls?,not hate speech
54, No.,not hate speech
55,What about the one we had lunch with?,hate speech
56,Lauren?,not hate speech
57,Lorna. That was ages ago.,not hate speech
58, I liked her. What happened?,not hate speech
59, She decided to renounce.,not hate speech
60,Renouncers? Are those the ones that kneel down for a month for salvation?,hate speech
61,No. They're the Repenters.,hate speech
62,"The Renouncers flagellate themselves for the forgiveness of humanity.  Oh, right.",not hate speech
63,"Dating ain't what it used to be, is it, amigo?",not hate speech
64, What'd you do on your birthday?,not hate speech
65, Nothing.,not hate speech
66,Come on. You must've done something.,not hate speech
67,No. Same as every other day.,not hate speech
68,"Woke up, felt like shit,went to work, felt like shit.",hate speech
69,"That's called a hangover, amigo.",not hate speech
70,"At least with a hangover, I feel something.",not hate speech
71,"Honestly, Jasper, sometimes...",not hate speech
72,You could always come and live with us.,hate speech
73,"Yeah, but if I did that, I wouldn't have anything to look forward to.",not hate speech
74,Look who it is. It's Theo.,hate speech
75," Hey, Janice, how you doing?  It's Theo.",not hate speech
76,Your rebel with a lost cause.,not hate speech
77,She loves this color.,not hate speech
78,"Don't you, darling? You love it.",not hate speech
79,"""Is there a chance it will not work for me?",hate speech
80,"""There have been no cases of anyone surviving who has taken the preparation. "" Daddy government hands out suicide kits and antidepressants in the rations, but ganja is still illegal.",not hate speech
81,Most of my weed goes to Bexhill now.,hate speech
82,This bloke buys it from me and smuggles it in.,hate speech
83,Guess what he does? His real job?,not hate speech
84,Immigration cop.,not hate speech
85,Bravo!,not hate speech
86,One of the many perks of having a refugee camp in the neighborhood.,hate speech
87,"Come on, taste that.",not hate speech
88,Cough.,not hate speech
89, Cough?,not hate speech
90, Cough.,not hate speech
91,You taste it? Strawberries.,not hate speech
92,This is Strawberry Cough.,not hate speech
93,"So, Human Project is having this dinner and all the wisest men in the world are there...",not hate speech
94,"""Human Project. "" Why do people believe this crap?",not hate speech
95,"You know, even if these people existed with these facilities in secret locations...",not hate speech
96,"Fuck me, that's strong.",not hate speech
97,"Even if they discovered the cure for infertility, it doesn't matter.",not hate speech
98,Too late. The world went to shit.,not hate speech
99,You know what?,not hate speech
100,"It was too late before the infertility thing happened, for fuck's sake.",not hate speech
101,"I was just trying to tell a joke, man.",hate speech
102,I'm sorry. Go on.,not hate speech
103," No, I'm not telling it now.",not hate speech
104," No, come on, Jasper.",not hate speech
105, No. Fuck it. I'm not fucking telling you.,not hate speech
