,Unnamed: 0,dialog
0,0,"John Johnson, report to Edgemar Station in dress uniform."
1,1,Lucky you.
2,2,You're about to make history.
3,3,"Hey, Can't you read?"
4,4,"It says ""Employees only,""  I am an employee,  No, it don't mean trustees, Your lives are at stake, so pay attention."
5,5,"Your numberone responsibility out there is to stay alive and protect the lives of your partners, Now, on a brighter note, Bush has decided to finally get rid of that riceburnin' piece of crap and ride American, Thank you, Chuck, Good morning, gentlemen, I'd like to introduce to you John Johnson, fresh out of the academy, and he's been assigned to, uh, to join us,  Meet some of the boys,  OK,  Deputy Bono,  Hey,  Jim Ryan, Pleasure,  Jim, how ya doin'? Good to meet you,  Smith, Deputy Bush,  Yeah, we met in the parking lot,  Right,  Detective Baker back here, my right arm,  Just call me Gene, I've gotta roll,  Gene, good to meet you,  Chuck, This is Chuck Gilmore,  Hey, Chuck, He's been assigned to show you the ropes, so to speak, You'll ride with him,  OK,  Bring your Dramamine, kid, These guys are all workin' overtime just to keep up,  Huh, Do you two know each other?"
6,6," No,  I'm Foster,  John Johnson,  Nice to meet you, Welcome aboard,  Thanks, Good to be here, Look, Larry, it isn't going to work, You know we don't have the money,  Officer Deborah Fields,  John Johnson, Good to meet you,  How you doin'?"
7,7," I'm all right, Bye, I don't know what to say except, um, this is your job, not mine,  I suggest you come up with some ideas,  We'll see ya,  Good luck,  OK, Thanks a lot,  Well..."
8,8, Well...
9,9," Good, Thanks a lot,  Thank you, Did you know you were traveling well over the speed limit, ma'am?"
10,10,"Officer, my speedometer's broken, I had no idea how fast I was going, And besides, what's a handsome man like you doing hiding in bushes, trying to trap single young women?"
11,11,"Well, ma'am, it's times like these, I hate who I am, You have a nice day, ma'am, Drive safely, Ohh, Mmm!"
12,12, Why didn't you write her?
13,13," Oh, man, she was, she was nice, ""Nice,"" Get in, Huh?"
14,14,Get in the car! Now!
