,dialog
0,Open gate one.
1,Man walking.
2,Open gate two.
3,Let's go. Face the wall.
4,Got one under escort.
5, Good morning.
6, Morning.
7, State your name for the record.
8, Daniel Ocean.
9,Thank you. The purpose of this hearing is to determine ...
10,whether you are likely to break the law again.
11,"This was your first conviction, but you've been implicated ..."
12,in a dozen other schemes and frauds.
13,What can you tell us about this?
14,"As you say, ma'am, I was never charged."
15,We're trying to find out ...
16,if there was a reason for committing this crime ...
17,or just a reason you got caught this time.
18,My wife left me. I was upset.
19,I got into a selfdestructive pattern.
20,"If released, is it likely you'd fall back into a similar pattern?"
21,She left me once. I doubt she'd do it again just for kicks.
22,"Mr. Ocean, what do you think you would do if released?"
23," Chips, please."
24, Sure.
25, Change 150. Quarters or nickels?
26, Quarters are fine.
27, Good luck.
28, Thank you.
29,Good start.
30, I'm going on break now.
31, Here. Thank you very much.
32, Good luck.
33, You have a good one.
34," How are you, sir?"
35," Hello, Frank."
36,I beg your pardon. You must have me confused with someone else.
37,My name is Ramón.
38,As you can see right here.
39, My mistake.
40," No problem, sir."
41,The table's cold anyway.
42,You might want to try the lounge at Caesars. Gets busy after 1:00.
43, 1:00?
44," Yes, sir."
45,"Thanks, Ramón."
46,Thank you.
47, Checking up on current events?
48, Ramón?
49,Glad to meet you. Frank Catton can't get past the gaming board.
50, You just got out?
51, This afternoon.
52,You seen him?
53,I heard he was teaching movie stars how to play cards. Why?
54,You have a plan already?
55,Are you kidding?
56,I just became a citizen again.
57,Officer Brooks ...
58,this is Danny Ocean. I was told to contact you within 24 hours.
59,"No, sir, I haven't been getting in trouble."
60,"No, sir, I haven't been drinking."
61,"No, sir, I wouldn't even think about leaving the state."
62,"Hey, Russ! Rusty. What's up, man?"
63,Let me ask you a question.
64,Are you incorporated?
65,You should think about it.
66,I talked to my manager ...
67, Bernie?
68, Not Bernie. My business manager.
69,"Actually, they're both named Bernie."
70,He said what we do could be considered research ...
71,"for a future gig, so I could make it a tax writeoff."
72,"The one thing is, and this is his thing and it's stupid ..."
73,but I'd have to pay you by check.
74,Or we could just stick to cash.
75,"Yeah, let's just stick to cash."
76,We'll begin with fivecard draw.
77,Everyone remember that?
78,Who wants to start us out? Josh?
79,Josh. To the left.
80,Deal to your left.
81, Shane?
82, Hit me.
83, It's not blackjack.
84, Dude!
85,Looking at them doesn't change them.
86,You know what you have.
87, Left. Left.
88," Left, I'll get it."
89,Lady bets. Let's keep it moving.
90, Blue.
91," Blue, that's a 50."
92, I'll call?
93, Okay.
94,Shane's calling. 50.
95,"What the hell, it's only pocket change."
96,That's your business.
97,Pretend it's for a reason.
98,"Yeah, thanks, man."
99, Right.
100, How many?
101, Four.
102, You don't want four. You wanna fold.
103, I wanna fold?
104, Fold.
105,Is that good?
106,You're done. Let's take that.
107,You're done.
108,You're done.
109,You have three pairs.
110,You can't have six cards in a fivecard game.
111, Maybe one was mine.
112, Wasn't me.
113,Fellas!
114,All reds.
115,"What up, dog?"
116,I'm gonna love spending your money.
117,I'm gonna get my car washed.
118, How's the game going?
119, Longest hour of my life.
120, What?
121, I'm running away with your wife.
122,Great.
123,"Isn't that hard, crossing over from television to film?"
124,"Not for me, dude."
125,"Hey, Russ. We got another player ..."
126,if that's cool with you.
127,What do you do for a living?
128,If you don't mind me asking.
129,Why would I mind you asking?
130,Two cards.
131,I just got out of prison.
132, Really?
133, Why were you in prison?
134,I stole things.
135,You stole things?
136,Like jewels?
137,Incan matrimonial head masks.
138, Any money in Incan matrimonial ...?
139, Head masks. Some.
140,Don't let him fool you.
141,There's loads if you can move them.
142,I'll take one. But you can't.
143, My fence was confident.
144, You don't need a fence.
145, Some people lack vision.
146, Everybody in cellblock E.
147,That's $500.
148, What's the first lesson in poker?
149, Never bet on the ...
150, Leave emotion at the door.
151," Right, Topher."
152,Today's lesson: How to draw out the bluff.
153,"That much money, this early ..."
154,He has nothing better than a pair of face cards.
155,Barry?
156,All right.
157,I fold.
158, Josh?
159," Don't worry, I'm game."
160,I will see your $500 and I will raise you another ...
161,$500 of my own.
162, That's a very handsome bet.
163,"But don't push him too high, too fast."
164,Keep him on the leash.
165, Holly?
166, Call.
167,Call.
168,And I'll call.
169,"I'll see your $500 and raise you $2,000."
170,"Guys, you do what you like."
171,That's a lot of money.
172,I'm staying in. He's trying to buy his way out of his bluff.
173, Josh?
174, Two.
175,Thattagirl. Call.
176, Call.
177, Call.
178,Let's see them.
179,"I'm not sure what four nines does, but the ace, I think, is pretty high."
180,Thanks for the tip on bluffing.
181,"Hey, Topher! How about an autograph?"
182,"Come on, real quick."
183," God, I'm bored."
184, You look bored.
185,How was the clink?
186,You get the cookies I sent?
187,Why do you think I came to see you first?
188, So tell me.
189, It's tricky.
190,It's never been done before.
191,It'll need planning and a large crew.
192, Guns?
193, Not quite. High security. The take ...
194, The target?
195, Eight figures.
196,What's the target?
197,When was the last time you were in Vegas?
198,You want to knock over a casino?
199,The vault at the Bellagio.
200,"If I'm reading this right, and I'd like to think I am ..."
201,this is probably the least accessible vault ever designed.
202,You said three casinos?
203,"These feed into the Mirage and MGM Grand, but every dime ends up there."
204,The Bellagio and the Mirage.
205, These are Terry Benedict's places.
206," Yes, they are."
207, Think he'll mind?
208, More than somewhat.
209,You'd need at least 12 guys doing a combination of cons.
210,"Like what, you think?"
211,"Off the top of my head, I'd say you're looking at a Boesky, a Jim Brown ..."
212,a Miss Daisy and a Leon Spinks.
213,Not to mention the biggest Ella Fitzgerald ever.
214,Where will you get the money to back this?
215,"Hit these three casinos, we'll get our bankroll."
216,Benedict's got a list of enemies.
217,But enemies with loose cash and nothing to lose?
218, Reuben.
219, Reuben.
220,Hey.
221,"Oscar, lower it a bit, would you?"
222,Sorry. You guys done?
223,Find what you want?
224,We'll take these for the night to make copies.
225, Whatever you need.
226, Appreciate it.
227,What?
228,I need a reason.
229,And don't say money. Why do this?
230,Why not do it?
231,I just left the joint after losing four years of my life ...
232,and you're colddecking Teen Beat cover boys.
233,Because the house always wins.
234,"Play long enough, the house takes you."
235,"Unless, when that perfect hand comes, you bet big. Then you take the house."
236, You practiced that speech?
237, Did I rush it?
238,It was good.
239,The Teen Beat thing was harsh.
240,I wonder what Reuben will say.
241,You're out of your damn minds!
242,You're both of you nuts!
243,I know more about casino security than any man. I invented it.
244,And it cannot be beaten.
245,"They got cameras and watchers, they got locks."
246,"They got timers, vaults."
247,They got enough armed personnel to occupy Paris!
248,"Okay, bad example."
249,It's never been tried.
250,It's been tried.
251,A few guys even came close.
252,You know the three most successful robberies in Vegas?
253,"Number three, the bronze medal."
254,Pencil neck grabs a lockbox at the Horseshoe.
255,Grab the guy in the suit!
256,He got two steps closer to the door than anyone before.
257,Leave the money!
258,Second most successful robbery: The Flamingo in '71. This guy actually tasted fresh oxygen ...
259,before they grabbed him.
260,"Of course, he was breathing out of a hose for the next three weeks."
261,Goddamn hippie.
262,And the closest any man has come to robbing a Las Vegas casino ...
263,was outside of Caesars in '87.
264,He came ...
265,he grabbed ...
266,they conquered.
267,But what am I saying?
268,You guys are pros. The best.
269,I'm sure you can make it out of the casino.
270,"Of course, lest we forget ..."
271,"once you're out, you're still in the middle of the fucking desert!"
272,You're right.
273,He's right.
274,Our eyes were bigger than our stomachs.
275, That's what it is. Ego.
276," Yeah, blah, blah."
