,Unnamed: 0,dialog
0,0,Open gate one.
1,1,Man walking.
2,2,Open gate two.
3,3,Let's go. Face the wall.
4,4,Got one under escort.
5,5, Good morning.
6,6, Morning.
7,7, State your name for the record.
8,8, Daniel Ocean.
9,9,Thank you. The purpose of this hearing is to determine ...
10,10,whether you are likely to break the law again.
11,11,"This was your first conviction, but you've been implicated ..."
12,12,in a dozen other schemes and frauds.
13,13,What can you tell us about this?
14,14,"As you say, ma'am, I was never charged."
15,15,We're trying to find out ...
16,16,if there was a reason for committing this crime ...
17,17,or just a reason you got caught this time.
18,18,My wife left me. I was upset.
19,19,I got into a selfdestructive pattern.
20,20,"If released, is it likely you'd fall back into a similar pattern?"
21,21,She left me once. I doubt she'd do it again just for kicks.
22,22,"Mr. Ocean, what do you think you would do if released?"
23,23," Chips, please."
24,24, Sure.
25,25, Change 150. Quarters or nickels?
26,26, Quarters are fine.
27,27, Good luck.
28,28, Thank you.
29,29,Good start.
30,30, I'm going on break now.
31,31, Here. Thank you very much.
32,32, Good luck.
33,33, You have a good one.
34,34," How are you, sir?"
35,35," Hello, Frank."
36,36,I beg your pardon. You must have me confused with someone else.
37,37,My name is Ramón.
38,38,As you can see right here.
39,39, My mistake.
40,40," No problem, sir."
41,41,The table's cold anyway.
42,42,You might want to try the lounge at Caesars. Gets busy after 1:00.
43,43, 1:00?
44,44," Yes, sir."
45,45,"Thanks, Ramón."
46,46,Thank you.
47,47, Checking up on current events?
48,48, Ramón?
49,49,Glad to meet you. Frank Catton can't get past the gaming board.
50,50, You just got out?
51,51, This afternoon.
52,52,You seen him?
53,53,I heard he was teaching movie stars how to play cards. Why?
54,54,You have a plan already?
55,55,Are you kidding?
56,56,I just became a citizen again.
57,57,Officer Brooks ...
58,58,this is Danny Ocean. I was told to contact you within 24 hours.
59,59,"No, sir, I haven't been getting in trouble."
60,60,"No, sir, I haven't been drinking."
61,61,"No, sir, I wouldn't even think about leaving the state."
62,62,"Hey, Russ! Rusty. What's up, man?"
63,63,Let me ask you a question.
64,64,Are you incorporated?
65,65,You should think about it.
66,66,I talked to my manager ...
67,67, Bernie?
68,68, Not Bernie. My business manager.
69,69,"Actually, they're both named Bernie."
70,70,He said what we do could be considered research ...
71,71,"for a future gig, so I could make it a tax writeoff."
72,72,"The one thing is, and this is his thing and it's stupid ..."
73,73,but I'd have to pay you by check.
74,74,Or we could just stick to cash.
75,75,"Yeah, let's just stick to cash."
76,76,We'll begin with fivecard draw.
77,77,Everyone remember that?
78,78,Who wants to start us out? Josh?
79,79,Josh. To the left.
80,80,Deal to your left.
81,81, Shane?
82,82, Hit me.
83,83, It's not blackjack.
84,84, Dude!
85,85,Looking at them doesn't change them.
86,86,You know what you have.
87,87, Left. Left.
88,88," Left, I'll get it."
89,89,Lady bets. Let's keep it moving.
90,90, Blue.
91,91," Blue, that's a 50."
92,92, I'll call?
93,93, Okay.
94,94,Shane's calling. 50.
95,95,"What the hell, it's only pocket change."
96,96,That's your business.
97,97,Pretend it's for a reason.
98,98,"Yeah, thanks, man."
99,99, Right.
100,100, How many?
101,101, Four.
102,102, You don't want four. You wanna fold.
103,103, I wanna fold?
104,104, Fold.
105,105,Is that good?
106,106,You're done. Let's take that.
107,107,You're done.
108,108,You're done.
109,109,You have three pairs.
110,110,You can't have six cards in a fivecard game.
111,111, Maybe one was mine.
112,112, Wasn't me.
113,113,Fellas!
114,114,All reds.
115,115,"What up, dog?"
116,116,I'm gonna love spending your money.
117,117,I'm gonna get my car washed.
118,118, How's the game going?
119,119, Longest hour of my life.
120,120, What?
121,121, I'm running away with your wife.
122,122,Great.
123,123,"Isn't that hard, crossing over from television to film?"
124,124,"Not for me, dude."
125,125,"Hey, Russ. We got another player ..."
126,126,if that's cool with you.
127,127,What do you do for a living?
128,128,If you don't mind me asking.
129,129,Why would I mind you asking?
130,130,Two cards.
131,131,I just got out of prison.
132,132, Really?
133,133, Why were you in prison?
134,134,I stole things.
135,135,You stole things?
136,136,Like jewels?
137,137,Incan matrimonial head masks.
