,dialog,label_word_embedding_fox_news
0,"""The Tao produced One; One produced Two; Two produced Three; Three produced All things."" ""Tao Te Ching by Laozi"" A dog killed him, but not this dog!",hate speech
1,The real murderer is...,hate speech
2,Beat me to it again!,not hate speech
3,Purpose of your trip to America?,not hate speech
4,I... I...,not hate speech
5,Why are you here?,not hate speech
6,To... attend a wedding...,not hate speech
7,"""Chin Fong"" ""Chin Fong"" Surprise!",not hate speech
8,Old Chin!,not hate speech
9,Welcome to New York!,not hate speech
10,"I lent the helicopter out, so this'll have to do.",not hate speech
11,"I'm hot, aren't I?",hate speech
12,You are really...,not hate speech
13,Really hot?,hate speech
14,Really disgusting!,hate speech
15,College has not made you any smarter!,not hate speech
16,Music!,not hate speech
17,Go!,not hate speech
18,Where is Ah Xiang?,not hate speech
19,Waiting at the cocktail party.,not hate speech
20,"I'll show you around for a couple of days, Empire State Building, Statue of Liberty...",not hate speech
21,I wanna check out Queen's manuscript.,not hate speech
22,Qui Yin? What?,not hate speech
23,Ellery Queen...,not hate speech
24,This Queen guy's everywhere and now he's in New York too?,not hate speech
25,Hooking up already?,hate speech
26,What are you talking about..,not hate speech
27,Do you know Crimaster?,not hate speech
28,What is this?,not hate speech
29,"Crimaster, an app.",not hate speech
30,It is THE community for all the detectives in the world.,hate speech
31,"A lot of people upload real cases for others to crack, and in some countries, the success rate of cases solved has gone up quite a bit thanks to it.",not hate speech
32,How come your name's there?,not hate speech
33,That is the ranking of detectives...,hate speech
34,You are ranked No.2?,not hate speech
35,In He Nan?,not hate speech
36,In the world.,not hate speech
37,What about my ranking?,not hate speech
38,You're not on it.,not hate speech
39,So? Without me in the PPT...,not hate speech
40,APP...,not hate speech
41,Can you call it a ranking?,not hate speech
42,A world wide ranking?,hate speech
43,You can't be in it...,not hate speech
44,you must correctly answer in order to join the community.,not hate speech
45,Are you questioning my IQ?,not hate speech
46,Question number 1...,not hate speech
47,Sick!,not hate speech
48,Whoever plays this kind of game is just sick!,hate speech
49,"Old Chin, everyone is waiting for you.",not hate speech
50,The reception is here?,hate speech
51,"Yes, let's go...",hate speech
52,They... are here for the wedding too?,hate speech
53,"Of course, they are all friends and relatives of Ah Xiang.",hate speech
54,Tomorrow we are going to celebrate together.,not hate speech
55,Who's that?,not hate speech
56,Ah Xiang's cousin.,not hate speech
57,How about this white guy?,hate speech
58,Ah Xiang's exboyfriend.,not hate speech
59,You know before she met me she used to be quite adventurous And he is?,not hate speech
60,Ah Xiang's cousin...,not hate speech
61,Japanese?,not hate speech
62,Half Chinese and half Japanese.,hate speech
63,And this one?,not hate speech
64,Ah Xiang's grandmother.,not hate speech
65,"She lives in San Ya, she's tanned.",not hate speech
66, You...,not hate speech
67, Why do you have so many questions?,not hate speech
68,First you should get over the jet lag...,not hate speech
69,Do I have too many questions or do you have a problem?,hate speech
70, What about me?,hate speech
71, You are getting married tomorrow?,not hate speech
72, Yes.,not hate speech
73, Where is Ah Xiang?,not hate speech
74, She...,not hate speech
75, See!,not hate speech
76,"Every time she's mentioned, your eyes shift to the left, a classic sign of lying.",not hate speech
77,"There is absolutely no wedding atmosphere because if there was people would not be ignoring the ""groom"".",not hate speech
78,"And most importantly, you always check the calendar before doing anything even taking a shower, so tell me how come you chose tomorrow to get married?",not hate speech
79,"""Avoid wedding, burial, and house moving"" you tricked me here for a case, didn't you?",not hate speech
80,How do you know?,not hate speech
81,The armed doormen imply that the owner of this house is an individual of certain importance.,hate speech
82,"Ah Xiang's ""cousin"" is using a portable server which processes information 10 times faster than a regular computer.",not hate speech
83,"She's using Linux commands, which reminds me of the Hong Kong girl hacker Kiko, ranked No.5 on Crimaster.",not hate speech
84,She solves her cases by hacking into police database and stealing information from it.,hate speech
85,She can remove every penny from your account.,not hate speech
86,My account is penniless!,not hate speech
87,"M37K combat knife, B9 belt and Danner combat boots are all usual US military equipment.",not hate speech
88,"Ranked No.9 that must be US veteran detective Wild Bull Billy, who promotes the use of extreme violence to solve crimes.",hate speech
89,So?,not hate speech
90,I can beat up 10 of him with my Mojia Boxing!,not hate speech
91,I saw...,not hate speech
92,"I saw a man, a lying man!",hate speech
93,Even the Indonesian Psychic Detective Aaimali Kunana can tell that you are lying!,not hate speech
94,"Ranked No.7, she relies on divination rather than reasoning to solve a puzzle.",not hate speech
95,Can she beat my Dowsing Rod?,not hate speech
96,He needs no introduction.,hate speech
97,"Noda Hiroshi from Japan, the one who's competing with me for the No.2 spot.",hate speech
98,So... How did you infer that?,not hate speech
99,No need to infer.,not hate speech
100,He thinks he's hot and posts way too many nude selfies.,not hate speech
101,I cannot beat this one.,not hate speech
102,What about the PRESERVED EGG?,hate speech
103,Who's the PRESERVED EGG?,hate speech
104,The No.1.,not hate speech
105,"The No.1, ""Q"", is an anonymous user in Canada.",not hate speech
106,I'm not sure that he or she is in this crowd.,not hate speech
107,"Plus, during the last 3 minutes they have all checked out the hallway.",not hate speech
108,Everyone is obviously waiting for a very important person...,not hate speech
109,The owner of this house is not hard to look up...,hate speech
110,"Uncle Seven  Wu Zhiyuan, the highest ranked leader of all Chinese gangs, the ""Godfather of Chinatown"".",not hate speech
111,His grandson Wu Zhihao was murdered four days ago.,hate speech
112,"You are not the one who asked me to be here, he is, right?",not hate speech
113,I knew I couldn't fool you...,not hate speech
114,You know I hate being lied to.,hate speech
115,"Old Chin, Ah Xiang is married!",not hate speech
116,I'm not the groom!,not hate speech
117,She is married to this guy!,not hate speech
118,"He is not as handsome as me, not as slim as me, not as elegant as me.",not hate speech
119,He's such a playboy and dresses like a peasant!,not hate speech
120,Just because he's richer than me!,not hate speech
121,So I need to have a lot of money to win Ah Xiang back!,hate speech
122,So... what does this have to do with me?,hate speech
123,Dollars!,not hate speech
124,"If we solved Uncle Seven's grandson's murder, if you get 2.5 million, I get 2.5 million.",hate speech
125,To hell with your 2.5.,not hate speech
126,Old Chin!,not hate speech
127,Are you really going to abandon me?,not hate speech
128, I'm your uncle!,not hate speech
129, Cousin.,not hate speech
130,We got the same blood running through our veins!,not hate speech
131,I'm gonna go see Queen's manuscript!,not hate speech
132,Old Chin!,not hate speech
133,Do you know how much Ah Xiang means to me?,hate speech
134,I would die for her!,not hate speech
135,I will never love another woman.,not hate speech
136,Ah Xiang?,not hate speech
137,Officer Chen!,hate speech
138,Welcome!,not hate speech
139,"Mr. Lu, did you invite these clowns?",not hate speech
140,"They may look like nobodies, but you have no idea how hard it was to get them all to come  you are looking at a real ""World Detective Contest"".",hate speech
141,Why is there a kid here?,hate speech
142,"Officer, I am the detective, he is just my butler.",not hate speech
143,Uncle Seven...,not hate speech
144,The doctor says I have one week left at most.,not hate speech
145,I want to find Jason's murderer before I die.,hate speech
146, Understood.,not hate speech
147, Let's start.,not hate speech
148,OK.,not hate speech
149,Hurry up!,not hate speech
150,"Ladies and Gentlemen, I am Guofu Lu, Uncle Seven's godson as well as...",not hate speech
151,Shut up!,hate speech
152,Let Officer Chen speak!,hate speech
153,"OK, OK...",not hate speech
154,"Listen, this is the first and last time that I will share this info with you...",not hate speech
155,"Yes, yes.",not hate speech
156,...for Uncle Seven's sake.,not hate speech
157,I bet you can't understand a word.,hate speech
158,Old Chin!,not hate speech
159,You're still here?,not hate speech
160,I know deep down in your heart you care about me!,not hate speech
161,I'll only say this once...,not hate speech
162,"Four days ago, on July 1 st, Jason Wu's body was found in a temple in Chinatown.",hate speech
163,Time?,not hate speech
164,He was found by the temple's staff.,hate speech
165,Someone cut his chest open and removed the heart.,hate speech
166,The perpetrator made a Yshaped incision on the victim's chest.,not hate speech
167,No fingerprints were found but two details stand out.,not hate speech
168,"First, ""sevoflurane"" residue collected from the deceased's nasal cavity and left hand prove he was poisoned before being dragged to the crime scene.",not hate speech
169,"Second, from the wounds' vital reaction, we know the deceased's heart was removed while he was unconscious but still alive.",hate speech
170,Any questions?,not hate speech
171,The killer is left handed?,hate speech
172,That's right.,not hate speech
173,"We also suspect, from the cut's direction...",hate speech
174,No need to suspect.,hate speech
175,The truth is the sevoflurane is found on the victim's left hand approve of that What's the time of death?,not hate speech
176,Sometime between 9 and 10 AM.,not hate speech
177,OK.,not hate speech
178,Knowing that the gate of Zao Wang Temple opens at 10am So?,hate speech
179,So here's what's interesting: The suspect dragged the victim to the temple and killed him there.,not hate speech
180,The autopsy said the victim was killed between 910AM.,not hate speech
181,"However, the temple gate only opens at 10am.",not hate speech
182,"Anyways, what I want to say is even though the suspect could have been seen why he chose this place, this time to ""punish"" the victim Do you know why?",not hate speech
183,What is he talking about?,not hate speech
184,"He's taking away our ""Detective Chinatown"" limelight!",not hate speech
185,"Go ahead, say something.",not hate speech
186,Say something.,not hate speech
187,"Chinatown, Chinese temple, Chinese people...",not hate speech
188,"I reckon this has nothing to do with religion, It's connected to Feng Shui.",not hate speech
189,Chinese geomancy Anyone here knows anything about Feng Shui?,hate speech
190,Why are you pointing at me?,not hate speech
191,Don't you want to have the limelight?,hate speech
192,It's your turn!,not hate speech
193,My turn?,not hate speech
194,My turn?,not hate speech
195,Two years ago These two solved a gold robbery and murder case in Bangkok.,hate speech
196,They call themselves Detective Chinatown.,hate speech
197,Chin Fong is currently a first year student at the Chinese Police Academy.,not hate speech
198,"Presently ranked No.2 on Crimaster, but often surpassed by No.3, Mr. Noda Hiroshi.",hate speech
199,As for Mr. Tang Ren...,not hate speech
200,Intel shows he's more than likely a fraud.,not hate speech
201,"So obviously this is a partnership made of an ""angel"" and a ""devil"", a genius and an idiot.",hate speech
202,"I think I heard my name, what is that girl saying about me?",not hate speech
203,She said you're hot.,not hate speech
204,"Chin Fong says that he knows Feng Shui Let's take him to the murder site and show us what he knows No need for everyone to go, I'll just bring these two and that will be enough.",hate speech
205,You know Feng Shui?,hate speech
206,Ah?,not hate speech
207,Just say YES!,not hate speech
208,Oh... YES!,not hate speech
209,"So, do you wanna join me tomorrow morning?",not hate speech
210, YES! YES!,not hate speech
211, YES! YES!,not hate speech
212,Do you think we need to bring the rest?,hate speech
213,YES! YES!,not hate speech
214,Quiet.,not hate speech
215,"Ladies and Gentlemen, I have arranged rooms for everyone, So have a good night sleep.",not hate speech
216,Investigation officially starys tomorrow.,not hate speech
217,You will have enough time.,not hate speech
218,"Including tonight, you will have one week.",not hate speech
219,"Feng Shui master, what have you found?",not hate speech
220,Well...,not hate speech
221,"Wait, I'm a detective, not a Feng Shui master!",hate speech
222,"Yes, the murderer came in through here.",not hate speech
223,And the back...,not hate speech
224,"There is no surveillance video, we've checked...",not hate speech
225,You can speak Chinese?,not hate speech
226,You don't know your opponent at all.,not hate speech
227,I'm mixed.,not hate speech
228,"I told you he is a ""chuaner (mix breed)""!",not hate speech
229,So... the last person to see the victim was...,not hate speech
230,"Jason left his house the day before around 11 PM, and no one saw him afterwards.",not hate speech
231,"But his car actually drove away the next day at 4:05AM, and 20 minutes later was parked somewhere nearby, where the surveillance camera couldn't see.",not hate speech
232,All that time?,hate speech
233,Did he sleep in the car?,not hate speech
234,The surveillance camera did not get the driver?,not hate speech
235,"If it did, would she be here?",hate speech
236,"If you hack into the public grid again, I will arrest you.",not hate speech
237,"But Officer Chen, you'd need proof for that.",hate speech
238,What's on the tape?,not hate speech
239,"The murderer brought the victim here, but didn't start immediately.",hate speech
240, Specific location.,not hate speech
241, Specific time.,not hate speech
242,Specific method.,not hate speech
243,Specific 5 million.,hate speech
244,SHUT UP!,hate speech
