,dialog,label_word_embedding_fox_news
0,"Sebastian, let's try and focus.",not hate speech
1,What can I possibly say?,not hate speech
2,I'm a fool.,not hate speech
3, You're not a fool.,not hate speech
4," Yes, I am.",not hate speech
5,I can't feel sorry for myself because I'm a poor little rich boy.,not hate speech
6,It's not your fault.,not hate speech
7,Adolescence is a difficult time.,not hate speech
8,"And without great parenting, things can go awry.",not hate speech
9,But you have to rise above their mistakes.,not hate speech
10,Here.,not hate speech
11, Autographed copy! Can I keep this?,not hate speech
12, It's yours.,not hate speech
13,You have to stop being so hard on yourself.,hate speech
14,What's in the past is over.,not hate speech
15,You're right.,not hate speech
16,It's hard to believe there was once a time...,hate speech
17,...when the only thing I could think about was sex.,hate speech
18, It's no way to go through life.,not hate speech
19, I know.,not hate speech
20,"I mean, take yourself, for example.",not hate speech
21,You're an attractive woman.,hate speech
22,You have killer legs.,hate speech
23,I would love to photograph them.,hate speech
24,That was the old me.,not hate speech
25,I'm cured now.,not hate speech
26,I'm so proud of you.,not hate speech
27,Same time next week?,not hate speech
28,Didn't I tell you?,not hate speech
29,I'm going on my book tour.,not hate speech
30,I'll be back in a month.,not hate speech
31,Why?,not hate speech
32,Because other people need my help too.,hate speech
33,You're gonna do just fine.,not hate speech
34,I hope so.,not hate speech
35,"If you need anything at all, don't hesitate to call my service.",not hate speech
36,I could use a hug.,hate speech
37,Alrighty.,not hate speech
38,There you go.,not hate speech
39,Yes?,not hate speech
40, Your daughter on one.,not hate speech
41, Tell her to hold.,not hate speech
42, This her?,not hate speech
43, That's my Marci.,not hate speech
44, She seems nice.,not hate speech
45, She's great.,not hate speech
46,"StraightA student, exceptionally rounded young woman.",hate speech
47,She's attending Princeton this fall.,not hate speech
48,Now this is exactly the type of girl I should be with.,not hate speech
49,She's a little out of your league.,not hate speech
50, No offense.,not hate speech
51," Oh, well.",not hate speech
52,Take good care of yourself.,not hate speech
53,Thank you for everything.,not hate speech
54,Schmuck.,not hate speech
55, Yes?,not hate speech
56, Your daughter's still holding.,not hate speech
57,"Hi, honey.",not hate speech
58, You kept me on hold?,not hate speech
59, I'm sorry.,not hate speech
60,Is something wrong?,not hate speech
61,He told me he loved me.,hate speech
62,And I believed him.,not hate speech
