,dialog,label_word_embedding_fox_news
0,And David Beckham gets the ball yet again for Manchester United.,not hate speech
1,He's really taking responsibility every time they have possession and this is really a reflection of the way he's been playing and captaining England.,not hate speech
2,"Seems to have matured so much as a player and he's dominating proceedings here, but...hoping perhaps to get a bit more support as he gathers the ball on this righthand touchline time after time.",not hate speech
3,And the Old Trafford crowd warming now to the way Beckham is taking over.,hate speech
4,"But there's a big question mark here against United, because where is the goal gonna come from  to break down Anderlecht?",not hate speech
5, United!,not hate speech
6,Will it be Scholes?,not hate speech
7,Could it possibly be Ryan Giggs?,hate speech
8,Would it indeed be Beckham himself who breaks through?,not hate speech
9,Anderlecht are playing a very controlled game.,not hate speech
10,"This is Radzinski for them, testing the United defence, and Silvestre here at left back, possibly with a chance to break forward now on the other flank.",hate speech
11,And there's the ball that Beckham really wants.,hate speech
12,"That looked like a body check there, but he's shrugged off the defender.",not hate speech
13,"Still Beckham, plenty in the middle.",not hate speech
14,"lt's a decent cross, and there is Bhamra.",hate speech
15,"That's a fine header, and she's scored!",not hate speech
16,lt's a goal by Jess Bhamra!,hate speech
17,"A superb header here, beating the defender and planting the ball beyond the goalkeeper's left hand.",hate speech
18,Jess Bhamra makes a name for herself at Old Trafford!,not hate speech
19,"And have we discovered a new star here, Gary Lineker?",not hate speech
20,"That's right, John. Could Bhamra be the answer to Îngland's prayers? Alan?",not hate speech
21,There's no denying the talent.,hate speech
22,"Quick thinking, comfortable on the ball, vision and awareness  absolutely magnificent.",not hate speech
23,"l tell you what, l wish she was playing for Scotland!",not hate speech
24,"John, have Îngland found the player to relive their World Cup glory from '66 ?",hate speech
25,"Definitely, Gary, we've finally found the missing piece of the jigsaw and the best thing is, she's not reached her peak yet.",not hate speech
26,"OÎ. Thanks, John.",not hate speech
27,"Well, we're joined in the studio now by Jess's mother, Mrs Bhamra.",hate speech
28,"Mrs Bhamra, you must be very proud of your daughter.",not hate speech
29,Not at all!,not hate speech
30,"She shouldn't be running around with men, showing her bare legs to 70,000 people!",not hate speech
31,She's bringing shame on the family and you three shouldn't encourage her!,not hate speech
32,"Jesminder, you get back home now!",not hate speech
33,"Jesminder, are you listening to me?",hate speech
34,"Jesminder, have you gone mad?",not hate speech
35, Mum!,not hate speech
36," Football, shootball!",not hate speech
37,Your sister's getting engaged and you're watching this skinhead boy!,not hate speech
38,"Mum, it's Beckham's corner!",not hate speech
39,"Îey, come downstairs.",not hate speech
40,Your sister's going crazy.,not hate speech
41,"Mum, l can't hang around all day!",hate speech
42,l've gotta go!,not hate speech
43,"Mum, where are my keys?",not hate speech
44,l can't find them anywhere!,hate speech
45,Sick of this wedding and it hasn't even started.,hate speech
46,"Mum, can you hurry up?!",not hate speech
47,She'll probably ruin it for me!,not hate speech
48,That girl is a firstclass bitch!,not hate speech
49,"Pinky, you've got so many others!",not hate speech
50,"Yeah, but it was all planned.",hate speech
51,Now l gotta get another one!,not hate speech
52, Will you get a move on?!,not hate speech
53, What the hell's going on?,not hate speech
54,"Get this, yeah?",hate speech
55,Teet's bloody sister says she's wearing baby pink now.,not hate speech
56,Stupid cow.,not hate speech
57,l had matching accessories and everything!,hate speech
58,"Oh, Mum, do l have to go shopping again?",hate speech
