,Unnamed: 0,dialog
0,0,Presented by iMR aka imxpress For YIFY Release Keep going.
1,1,How long do you got? Good.
2,2,Here comes security.
3,3,You've got three seconds.
4,4,Yo.
5,5,We had them.
6,6,All right. It was a good run.
7,7,That was close.
8,8,Better than coming in third.
9,9,Next week. Next week.
10,10,"Yeah, all right."
11,11,"Are you ready, baby?"
12,12,What's up?
13,13,There's Michael.
14,14,Here we go.
15,15,"I know you're looking for some good company tonight. Say hello, dear."
16,16,"Hey, ladies."
17,17,Hello.
18,18,The Latina.
19,19,"Man, that's Miss Cuba."
20,20,Hi.
21,21,Hi. How are you?
22,22,"And the tall Jamaican, who's she? Miss Jamaica?"
23,23,"Oh, yeah."
24,24,One for three or two for five K.
25,25,All right. Let's go for three and bring them to the after party at the mansion.
26,26,"Hey, darling. Two Bacardi mojitos and a gin and tonic."
27,27,Lemon or lime?
28,28,Lime.
29,29,Where you from?
30,30,Lisboa. That's in Portugal.
31,31,But you got your tan in Miami?
32,32,What's your name?
33,33,Rita.
34,34,Rita. Sonny.
35,35,"See you later, Rita."
36,36,"Hey, Michael."
37,37,Neptune.
38,38,Here are your dates.
39,39,"Hey, baby."
40,40,Here you go.
41,41,Let me hit you now.
42,42,"No, no, no."
43,43,"Please, put it away."
44,44,Be cool.
45,45,Come on.
46,46,Hit me later.
47,47,What's with number three?
48,48,"She's sick, man."
49,49,That's cool. I'll go with two.
50,50,"Let's go, sweetheart."
51,51,Do you know how much I'm losing tonight?
52,52,No.
53,53,Where you going?
54,54,Easy. Easy.
55,55,Neptune should ease up on the merchandise.
56,56,Flip the girls upstairs and we got him.
57,57,His day will come.
58,58,Hello?
59,59,Hello?
60,60,Hello?
61,61, Sonny?
62,62, Yeah. Who's this?
63,63,Sonny?
64,64,Alonzo?
65,65,"Alonzo, I can't talk. We're in the middle of a deal right now."
66,66,Take care of Leonetta for me.
67,67,Ask Ricardo to do that.
68,68,I gave up nothing on you.
69,69,"They're on their own. It's all their deal, anyway. Fuck them."
70,70,"Alonzo, what are you talking about?"
71,71,"I'm falling by the house, and then I'm gone."
72,72,"So whatever you can do for her, okay, Sonny?"
73,73,Alonzo.
74,74,Goodbye.
75,75,What is it?
76,76,Alonzo Stevens.
77,77,Something's wrong.
78,78,He told you to look after Leonetta for him.
79,79,FBI Miami.
80,80,"This is Detective Crockett, MiamiDade PD. Patch me through to your SAC."
81,81,"Leonetta, it's Rico. Give me a call back as soon as you get a chance."
82,82,This is ASAC John Fujima.
83,83,Detective Crockett.
84,84,What's your MiamiDade badge number and date of birth?
85,85,447Charlie1292.
86,86,MiamiDade PD Tech.
87,87,"Bobby G., it's Rico."
88,88,"Hey, that transponder we had on Alonzo Stevens' Bentley, it still running?"
89,89,When's the last time we used it?
90,90,I don't know. We ain't worked him in six months.
91,91,Okay. So?
92,92,One of your deals may be going bad.
93,93,Confidential informant we cut loose to you guys.
94,94,CI's name is Alonzo Stevens.
95,95,He called us.
96,96,We haven't spoken to him in six months.
97,97,How do I discuss this over an open phone line?
98,98,How the hell do I know?
99,99,We got the phone call from Alonzo on an open line.
100,100,That is the hand we have been dealt at 11:47 on Saturday night.
101,101,"Now, I do not know what case you have him on, but whatever it is, it is going bad, and it sounds like it is going bad right now."
102,102,It's a preliminary meet and greet.
103,103,Meet and greet?
104,104,"You flash me yours, I'll flash you mine?"
105,105,Who are you?
106,106,Ricardo Tubbs.
107,107,My partner.
108,108,"Yeah, deal goes down another time, another place."
109,109,"So, what?"
110,110,No HRT weapons team out there?
111,111,That's right.
112,112,Colombians? Russians?
113,113,White supremacists.
114,114,And that tape is not gonna look good in court.
115,115,Aryan Brotherhood? Mongols?
116,116,Nazi Low Riders? What?
117,117,"We think Aryan Brotherhood, but we don't know for sure."
118,118,What's up?
119,119,Get Michael out of there.
120,120,What about Neptune?
121,121,It's Neptune's lucky night.
122,122,What else did Stevens tell you?
123,123,"He said that it went bad, that he didn't give us up. Told us goodbye."
124,124,"Rico, we got the Bentley."
125,125,"Hey, he just got on the 95 southbound from the 195 causeway."
126,126,"We got meth, ice, glass, Es, Ks, ex, Mitsus, Ames, Colombian H."
127,127,Ice.
128,128,Party down with the coke.
129,129,You're looking at 92% pure.
130,130,Not like that jumpedon powder they sell up in Nuyorico.
131,131,Never seen green?
132,132,You got the green.
133,133,We got the goods.
134,134,We party.
135,135,"Larry'll call you in the a. m. about quantity and money, time and place."
136,136,"Hey, Ivan!"
137,137,My brother.
138,138,How long have you been working with the FBI?
139,139,"Alonzo, pull over!"
140,140,Pull over!
141,141,Stay back!
142,142,What'd you do?
143,143,"I fronted their undercover team to these guys like usual, you know?"
144,144,"They're Feds, Russian speakers."
145,145,I was the middleman.
146,146,"What, 15%?"
147,147,"Yeah, yeah, yeah, to set up the meet."
148,148,They grabbed Leonetta.
149,149,They took Leonetta.
150,150,"I gave them up, man."
151,151,Gave up the Feds. Everything.
152,152,Everything I knew.
153,153,"Rico, I got to go home."
154,154,Got people there now.
155,155,"How did they get onto you, Alonzo?"
156,156,How the hell do I know?
157,157,"They knew one Russian was FBI from the getgo, so..."
158,158,They knew I knew.
159,159,"Rico, I gotta go."
160,160,Alonzo. Alonzo.
161,161,"Rico, I got to go."
162,162,I got to go.
163,163,Alonzo. Alonzo!
164,164,I gotta fucking go!
165,165,Hello?
166,166,You don't...
167,167,You don't...
168,168,You don't need to go home.
169,169,"They said they wouldn't hurt her, man."
170,170,They lied.
171,171,Alonzo!
172,172,No!
173,173,Prints on the fridge.
174,174,Hold on.
175,175,Yeah.
176,176,Where are you?
177,177,What's your QTH?
178,178,Just a couple blocks away.
179,179,We can see the lights.
180,180,Turn around.
181,181,Turn around?
182,182,"Look, we know these people."
183,183,"Meet me in 15 minutes, Standard Park."
184,184,What the hell just happened?
185,185,What was that?
186,186,Who's this?
187,187,He needs to talk to you.
188,188,I'm Fujima.
189,189,We talked on the phone.
190,190,"So, this was your operation?"
191,191,"Yes, at command level."
192,192,"We trusted our informant, Alonzo, to you, and you got his whole family killed?"
193,193,"What, did you jump some amateurs into a game they ain't ready for?"
194,194,"What the fuck happened, man?"
195,195,Three men got killed!
196,196,And so did our...
197,197,Cool down.
198,198,"They discovered my guys were undercover, and we don't know how."
199,199,"This was an interagency task force, DEA, ATF, U.S. Customs."
200,200,The leak could have come from any one unit.
201,201,I gotta assume my operational security is compromised.
202,202,Compromised? Your whole op sec is blown.
203,203,You're stone cold dead in the water.
204,204,"Meanwhile, it does not track."
205,205,White supremacist gang?
206,206,White prison gangs is tweakers and meth labs and trailer parks.
207,207,Bouncing the old lady around until they get busted back.
208,208,And how did they get all high tech with sophisticated counterintel?
209,209,"And what we here talking to you for, anyway?"
210,210,MiamiDade wasn't part of the task force.
211,211,Oh.
212,212,They don't know you.
213,213,"So, you want to recruit us?"
214,214,Identify them. Who are they?
215,215,How did they cut into us?
216,216,How do we cut into them?
217,217,How do we get all close and personal with them?
218,218,Make a buy. That worked well.
219,219,Sell to them? We supply them?
220,220,"No, they got a steady stream of supply."
221,221,"Colombian named Jos̩ Yero, midlevel trafficker."
222,222,Okay. So what about Yero? Can we get to them through Yero?
223,223,Possible.
224,224,What does he need?
225,225,Money laundering? Transpo?
226,226,Transpo.
227,227,He outsources his transportation.
228,228,Okay.
229,229,Do we run an undercover on Jos̩ Yero?
230,230,So we transport a load for Yero into this group?
231,231,So can we run a load for Yero into this group? It's a question.
232,232,He transships out of Haiti.
233,233,"Flies his product in from Colombia, hires someone to run it from Haiti into here."
234,234,This is a FLIR image of someone's gofast boats running in a Yero load.
235,235,AWAC shot it.
236,236,That's all we got.
237,237,"All right. If they do this, I'd like them deputized as federal under OCDETF for the purposes of this case."
238,238,Fine by me.
239,239,"Because your op sec is blown, your agency can't know anything about how they do whatever it is they do."
240,240,That's why I came alone.
241,241,Thank you.
242,242,Sorry about your men.
243,243,What'd you spot?
244,244,Gofast boats running that close?
245,245,"On radar they look like one, not two."
246,246,Total darkness?
247,247,"Plus, who runs four 250 Mercs off a deepV hull?"
248,248,Sal Maguda.
249,249,He that good?
250,250,"Oh, yeah."
251,251,Bleaching it down.
252,252,Must have just unloaded.
253,253,Who are we?
254,254,How's your Creole?
255,255,Do you know whose load this is? It's Jos̩ Yero's.
256,256,What are you doing?
257,257,What are you doing?
258,258,Hello?
259,259,"Hey, Nicholas, my ace."
260,260,What's up?
261,261,Everything's good. You?
262,262,We good.
263,263,We all good.
264,264,"As a matter of fact, we're looking to charge up your cash flow. Hold on."
265,265,"Nicholas, how you doing?"
266,266,Sonny. What's up?
267,267,"Somebody's something's got to go somewhere, some when."
268,268,Not too distant in the future.
269,269,Except he had transpo problems.
270,270,Call Colombia.
271,271,"Man, that's Jos̩ Yero."
272,272,Really?
273,273,"He is AUC, you know. Colombian rightwing paramilitaries."
274,274,You know who they are? They are vertically integrated. They are...
275,275,"You mean, they walk around with constant erections?"
276,276,"No. They farm, process, produce, export..."
277,277,I know what it means.
278,278,"No, see, it gives them attitude."
279,279,"A player negotiates too hard and you never hear from him again, 'cause these guys kill everything!"
280,280,I gotta know what's the skinny.
281,281,It's none of your fucking business.
282,282,"It can come back on me, baby."
283,283,"It can't come back on you, baby."
284,284,Am I assured of that?
285,285,"Hey, sunshine."
286,286,"When has Rico or Sonny ever lied to you, huh?"
287,287,"I mean, when has anything Rico told you not happened exactly like he said?"
288,288,You saying I lie to you?
289,289,"No, I'm not saying that..."
290,290,"Yes, you are."
291,291,"It's just there's variables, you know? Randomness, see? That's why."
292,292,"""That's why,"" what? Well, why, like, if you can't deliver, this group goes from zero to highorder violence like that."
293,293,"You made a 15% commission off three moneylaundering prosecutions I put you into, you know, which is why you live in your $4 million condo."
294,294,And you question Rico and Sonny?
295,295,Fuck that. I will cap your skanky ass and throw it off that goddamn balcony.
296,296,"Yeah, then we can kick back and watch Marlins highlights on this 65"" plasma."
297,297,After we clean this place up.
298,298,Don't you ever put anything away?
299,299,Plus he's gonna commission Jos̩ Yero for putting you to Jos̩ Yero.
300,300,Anybody looking at his illgotten gains? IRS looking into his shit?
301,301,Any reason this does not go down?
302,302,That's the sound of air rapidly filling the vacuum created by your departed body.
303,303,On account of how fast I remanded your ass back into custody.
304,304,Why is this happening to me?
305,305,Because you lead a life of crime.
306,306,"Can't do time, don't mess with crime."
307,307,He's cool.
308,308,He'll make the call.
309,309,"All I know, these guys are quiet, they do big volume with a lot of product."
310,310,Can you vouch for them?
311,311,Yeah. Of course I vouch for them.
312,312,All right. Check them out and you better be right.
313,313,"Hey, you."
314,314,Wake up.
315,315,What happened to you?
316,316,Aren't you excited to see me?
317,317,I can't talk about it.
318,318,This is all right.
319,319,I'm just joking.
320,320,Go to sleep. Go to sleep right here. That's it.
321,321,Any word?
322,322,Nothing.
323,323,"Hey, Trudy. Hey, Sonny."
324,324,"Hey, Trudy."
325,325,"How you doing, darling?"
326,326,Who are we here?
327,327,It's the same fabricated fundamentals as before.
328,328,Rico.
329,329,"Folsom Bwing, Pelican Bay."
330,330,"Sonny, Marine Corps, Chicago, and 10 plus weapons."
331,331,"Five out of eight, and jumped parole."
332,332,"Pelican Bay, where you guys hooked up."
333,333,"And then it goes cold, 'cause presumably you're both too smart and too fast to get jacked again."
334,334,What about this place?
335,335,It'll show up leased under these aliases.
336,336,How'd they test?
337,337,And who tested them?
338,338,Helene in NYPD.
339,339,"And she worked through your false identities, and then she found your deeper, hidden, more criminal selves."
340,340,Yeah.
341,341,He's in.
342,342,You're on.
343,343,The meet's in Haiti.
344,344,He'll negotiate the price in person.
345,345,"Call me after you've landed in PortauPrince, 'cause only when you're on the ground will he tell me where you are to go."
346,346,Be careful. Be cool.
347,347,"Approaching. Turning to heading 340 down to 6,000 feet."
348,348,Clear to the ILS runway 10 for the approach to PortauPrince.
349,349,Why do I get the feeling everybody knows we're here 15 blocks out?
350,350,'Cause everybody knows we're here 15 blocks out.
351,351,Sit.
352,352,Jos̩.
353,353,Sonny Burnett.
354,354,"That's my partner, Ricardo."
355,355,Thank you for coming down.
356,356,"So, let's lay it out."
357,357,Nicholas say you run a tight group.
358,358,"That's nice, 'cause we got product that's got to move."
359,359,Real tight.
360,360,We move as fast as FedEx.
361,361,Move to where?
362,362,"To New York, through South Florida."
363,363,Move when?
364,364,Right now.
365,365,That's kind of all of an instant.
366,366,"That means only one thing, real fast."
367,367,"So, the price, is it right?"
368,368,Price is right.
369,369,But how I know if you any good at this shit?
370,370,What's that?
371,371,"Yeah, your business."
372,372,How much volume you do?
373,373,Whose product you move?
374,374,Who you work with?
375,375,"Other than Nicholas, who the fuck knows you?"
376,376,"Well, my mommy and daddy know me."
377,377,And we don't talk about who we work with.
378,378,And we didn't come down here to audition for business.
379,379,Business auditions for us.
380,380,"And knows all about us, before they call Nicholas."
381,381,That way we don't waste avgas or our motherfucking time.
382,382,You want us to be telling you about our shit?
383,383,You can't find out on your own?
384,384,Why do I not buy that?
385,385,You with DEA?
