,Unnamed: 0,dialog
0,0,"We're federal agents, we are not martyrs!"
1,1,This is suicide!
2,2,She is just one of many abductions.
3,3,Why is this abduction so special!
4,4,Is it because she's a witness against the Torrez?
5,5,"She is probably caught, and drugged."
6,6,We do not have to do this!
7,7,If not us...
8,8,... Who?
9,9,I told you to stay still!
10,10,Do not try to capture the Torrez!
11,11,Turn around now!
12,12,"Machete, you son of a bitch!"
13,13,Listen to orders!
14,14,You'll eventually kill us all!
15,15,Wait for reinforcements!
16,16,Whatever happens...
17,17,I'm with you...
18,18,... Boss.
19,19,This is the BOSS...
20,20,Sorry.
21,21,Get dressed.
22,22,It's too hot for clothes.
23,23,You saving me from Torrez?
24,24,You've got balls!
25,25,That looks like me.
26,26,What's this long hard thing?
27,27,My Machete.
28,28,Is it sharp?
29,29,Very...
30,30,Good...
31,31,I got him Stupid FUCK...
32,32,I told you to stay away asshole.
33,33,If you had listened to my orders you would not have been caught.
34,34,How did I do?
35,35,Excellent my love.
36,36,Excellent...
37,37,This is what happens when they insist to be heroes.
38,38,Why are you so insistent?
39,39,I own the entire force...
40,40,And not just here in Mexico.
41,41,I own the DEA... I own the Marshals...
42,42,Why can't I own you?
43,43,Why don't you take the money I offered you to look the other way?
44,44,What's your price?
45,45,Maybe I should ask your wife.
46,46,Bring her in here.
47,47,No!
48,48,Sara!
49,49,Your daughter... she's in school right now.
50,50,No?
51,51,I don't think so.
52,52,The honorable way to die...
53,53,is to cut off your head.
54,54,But.
55,55,You don't deserve to die honorably.
56,56,Burn it!
57,57,Joining us right now we have Franklin Jones.
58,58,Deputy Director of our local Immigration and Customs Enforcement (ICE) office.
59,59,Thank you and pleasure to be here.
60,60,What steps are you taking to secure our borders?
61,61,ICE is working with local law enforcement to improve patrols...
62,62,but there's over 2000 miles of border between Mexico and the U.S.
63,63,"And over half of that is here in Texas, there's a whole support network."
64,64,That not only helps illegal aliens get across but is helping them get settled.
65,65,Once they are here.
66,66,We need to uncover and dismantle this network.
67,67,It's our top priority and our most talented ICE agents are investigating them now.
68,68,Agent Nevada: Day 23 of surveillance for Operation Network.
69,69,The Operation is suspected to be run by a woman named Loose.
70,70,Codename: She.
71,71,Tacos Cafe! TACOS!
72,72,Loose operates a taco's truck at the labour site.
73,73,There's a interesting...
74,74,face.
75,75,No! That's OK.
76,76,Thank you.
77,77,He's not...
78,78,Run through database for possible criminal background.
79,79,"Male, Hispanic, scars, tattoo's Don't fuck with me, I don't fuck with you attitude."
80,80,So we need to attack the problem at it's source.
81,81,You work today and pay me tomorrow.
82,82,"Hi, lady You need a gardener?"
83,83,Come on. Stand back.
84,84,Hurry!
85,85,We have not got.
86,86,You can not leave us here!
87,87,Move!
88,88,She is sick.
89,89,Roundup time!
90,90,Look at them!
91,91,Speak English?
92,92,"Well, I don't speak much Mexican neither."
93,93,You know...
94,94,You're trespassing...
95,95,on my daddy's land.
96,96,Jesus Van! Can't you see she's been childed?
97,97,"If it gets born here, it gets to be a citizen."
98,98,No different than you or me.
99,99,I know most people don't like us.
100,100,They call us... Vigilantes.
101,101,It's really about vigilance.
102,102,Somebodys gonna watch out for this great nation of ours.
103,103,Otherwise...
104,104,Texas will become...
105,105,Mexico once again.
106,106,Who's gonna stop it senator?
107,107,I am.
108,108,Welcome to America.
109,109,You catch all that?
110,110,Burn me a DVD. Behind our supporters are going to like that!
111,111,A lot.
112,112,The infestation has begun...
113,113,parasites have crossed our borders...
114,114,have sickening our country...
115,115,leeching off out system...
116,116,destroying us from the inside.
117,117,But Senator John McLauglin has a plan of attack.
118,118,He'll fight to keep illegal immigrants OUT!
119,119,Hey!
120,120,Ugly!
121,121,Want to fight?
122,122,Don't tell me you don't wanna earn $500 in five minutes.
123,123,That's my man!
124,124,Bet's! Place your bets!
125,125,Fight!
126,126,Thanks.
127,127,Can I have a beans and cheese.
128,128,And a Cafe Ole.
129,129,Ain't got no cafe Ole.
130,130,Regular coffee then Oh! hold the spit please.
131,131,Why do you pretend to come here just for coffee?
132,132,I'm not pretending.
133,133,I like my coffee cheap and greasy.
134,134,I can refuse service to anyone.
135,135,Still the American way.
136,136,When they are citizens.
137,137,Got your papers?
138,138,Same as the last time you checked.
139,139,And the time before that.
140,140,And the time before that!
141,141,Got yours?
142,142,Same as the last time you checked.
143,143,You think what you do is right?
144,144,Taking your brothers and sisters in?
145,145,Deporting them to their own personal health?
146,146,It's the law.
147,147,There are many laws.
148,148,There sure are...
149,149,Immigration fraud...
150,150,Aiding and illegal entry Insanitary food processing...
151,151,But you wouldn't know anything about that would you?
152,152,Can I get my taco's Who's she?
153,153,I heard she runs an underground network.
154,154,How the hell would I know?
155,155,I just make tacos and I sell them.
156,156,To the workers of this site.
157,157,It fills their bellies other than hate.
158,158,Funny.
159,159,Sounds like something she would say.
160,160,Catch you later.
161,161,In the race for State Senator...
162,162,Latest polls are showing...
163,163,a sharp decline in support for incumbent Senator John McLaughlin.
164,164,And his hardline position on immigration.
165,165,Get in.
166,166,Fellow dodged it forever.
167,167,Sewage.
168,168,You ever killed anyone before?
169,169,You know this guy?
170,170,Senator John McLaughlin...
171,171,Independent from cocksucker county.
172,172,Built his reputation on being a hardliner against wetbacks.
173,173,Gets worse.
174,174,Yes... If he has his brothers.
175,175,He'll send you back to old Mexico.
176,176,That's his platform.
177,177,Ship them all back before first making them built a wall along the border for no pay.
178,178,Thank you very much get the fuck out.
179,179,But what the state senator fails to understand is...
180,180,the state runs the illegal labour.
181,181,Thrives on it.
182,182,Keeps costs down.
183,183,Keeps the wheels turning.
184,184,We bust that up and we're fucked.
185,185,My words.
