,dialog
0,Yeah?
1,Alright.
2,OK.
3,Jay.
4,"Hey, Robbo."
5,What's the story?
6,We got a truckie pull up to check his trailers.
7,Heard a wild dog growlin' from here under the bridge.
8,Smelt somethin' rotten.
9,How'd he know it was a wild dog?
10,"Guess he just knows the difference, I s'pose, you know, between a wild dog and a... wild kind of normal dog."
11,Who let Macca talk to the truckie?
12,I've cleared off all the dust off the truck.
13,"Guess he just, uh, let himself, mate."
14,Are these your footprints?
15,"Yeah, I guess they are."
16,So the other ones there belong to the truck driver.
17,Why isn't this crime scene locked off?
18,"I didn't think we'd worry about it out here, Jay."
19,It's the middle of nowhere.
20,"So, you know her?"
21,Yeah.
22,She's a local girl.
23,"I'll send a car out, then, eh?"
24,Nah.
25,I better do it myself.
26,"How's it going, Jim?"
27,"Nice to see you back, Detective."
28,"Laceration to the throat, consistent with a knife wound."
29,Capable of causing death.
30,"Time of death, oh..."
31,And it probably wasn't here.
32,A few posttrauma wounds around the upper arm.
33,Probably canine in origin.
34,Yeah. Truckie said he heard a dog growling in here.
35,"Big bastard, was he?"
36,"The dog, I mean."
37,I don't know.
38,He didn't see it.
39,But he said it was a wild one.
40,"How did he know it was a wild dog, Jay?"
41,"I was, uh... I was reading about wild dogs."
42,They were terrorising a town in Russia or someplace.
43,The people were too scared to go out at night.
44,Get this...
45,the dogs had learnt to travel on the subway.
46,"They'd take the latenight trains into the city and scavenge for food, and then take the early morning train back out."
47,Can you believe that?
48,Dogs taking trains.
49,"It's a crazy world, getting crazier."
50,"What've you got there, Jim?"
51,Looks like a wild grass seed.
52,"Oh, look at that."
53,Last moments of life.
54,"It's a picture, ain't it?"
55,That's basically when I found the body.
56,Thanks for calling it in.
57,Cheers.
58,Jay.
59,Sarge.
60,Bit early for icecream.
61,Nice welcome home for ya.
62,Hope they taught you something down there in the smoke.
63,Who is she?
64,Her name's Julie Mason.
65,I haven't seen her in a while.
66,"Sarge, you know I've had nothing like this."
67,"I know, Jay."
68,"But sooner or later, you were gonna get it."
69,I guess today's your lucky day.
70,"So, what can you give me?"
71,I got every spare wheel on the drug squad or the theft squad.
72,And Frank's leaving tomorrow.
73,Don't forget his dinner's tonight.
74,You're just gonna have to ride bareback for a while.
75,There's too much shit going down.
76,Things have changed since you've been away.
77,Sarge...
78,we got a young girl stuffed under the highway.
79,"I know. I know, Jay."
80,Just see what you can come up with.
81,Ok?
82,"This is very similar, but..."
83,Hang on.
84,Jay. Got somethin' for me?
85,"Hey, Macca."
86,Got somethin'?
87,I got no comment.
88,"Oh, come on, mate."
89,Was she a local girl?
90,"Come on, Macca."
91,"Come on, Jay."
92,This is your first big case.
93,You'll be surprised how much I can help you out.
94,"We'll see what happens. If I need your help, I'll let you know."
95,"Oh, just off the record."
96,I mean...
97,"mate, off the record, something."
98,"Thanks, Macca."
99,"Come on, mate."
100,"I need something, alright?"
101,"No comment, Macca."
102,WOMAN: Muckin' up all the time.
103,Ashley!
104,You there?
105,"Yeah, what?"
106,It's Julie.
107,She was found dead this morning.
108,True?
109,Yeah.
110,I'm sorry.
111,She was found under the highway...
112,out of town.
113,She's been there a few days.
114,You know if anyone wanted to hurt Julie?
115,I... I don't know...
116,much about what she was up to these days.
117,When was the last time you saw her?
118,"Oh, I don't remember what day it was now."
119,Ashley...
120,Did Julie wear any jewellery?
121,Mmhm.
122,She had a silver necklace with her name on it.
123,I gave it to her when she was little.
124,Did Julie have a phone?
125,Like that one.
126,Like this one. You sure?
127,Mmm.
128,I need a drink or somethin'.
129,"You got a loan there, Bread?"
130,Rightio!
131,Number 4.
132,"Number 9. 24, 24."
133,"Hey, nephew."
134,"Hey, Old Boy."
135,I still see you're dyeing your hair.
136,How's it goin'?
137,"Ah, no good. Them kids, they busted me out again.  How's the neighbourhood?"
138,"Oh, she's pretty wild these days, nephew."
139,Lots of drugs and shit goin' on.
140,A few new drug labs started up out of town.
141,"There's more than enough people walkin' around on the gear, goin' schizo."
142,"You know Julie Mason, who belongs to Ashley?"
143,"Yeah, I know her."
144,What do you know about her?
145,"So, what's going on?"
146,I'm not too sure.
147,"Well, Julie's into a bit of shit."
148,Mostly drugs.
149,I know she owes a lot of fellas money.
150,People say she's been goin' out with truckies.
151,What do you mean?
152,"Well, having sex with them for money."
153,The trucks pick 'em up just outta town...
154,and they usually take 'em up out there and park...
155,near the big antenna.
156,What about her friends?
157,"Oh, she's got a few."
158,"I seen her getting around with that, um, Tarni Williams."
159,She lives in your old street.
160,It's a greenroof house across from the redroof house.
161,Right next to the park.
162,"Thanks, Old Boy."
163,"Hey, you watch your back."
164,"Time to get my money back, eh?"
165,"OLD BOY: Hey, you kids!"
166,"Hey, cuz."
167,Your parents home?
168,What about Tarni?
169,Is she home?
170,"Tarni, someone's here for ya."
171,What?
172,Just wanna ask you a few questions.
173,About what?
174,About Julie Mason.
175,I got nothin' to say.
176,Tarni!
177,"Now I'd just like to start by saying, Frank..."
178,"Frank, you're a real one."
179,Thanks.
180,Scarce as rockin'horse shit.
181,"Seriously, it's been a long time."
182,"And I reckon the drug squad's just gonna be lost without ya, eh, Johnno?"
183,"Oh, no. Speak..."
184,"speak for yourself, Sarge, eh?"
185,"Ah, it's gonna be hard to replace you."
186,"Jesus, it's hard to replace anyone out here."
187,"As you know, this joint was robbed five times last month."
188,By the same teenage kid.
189,"And just last week, a junkie held a knife to a woman's throat."
190,Just across the road from here.
191,And let us never forget poor young Constable Bobby Rogers.
192,Who died last year in the line of the duty.
193,"Hear, hear."
194,"Jesus, maybe we should all shoot through while we still can."
195,"But for some of us, It's the only home we know."
196,And we gotta stop the rot.
197,And protect our way of life.
198,We hope you're gonna think of us...
199,when you're sinkin' cold ones on that tropical isle.
200,JOHNNO: Yeah!
201,Raise your glasses.
202,Let's drink a toast to...
203,Frank and Joyce.
204,To Frank and Joyce.
205,ALL: Frank and Joyce!
206,Happy trails.
207,"Good on you, Frank."
208,How's it goin'?
209,"Yeah, not bad."
210,"Here about that girl, are ya?"
211,"Yeah, that's right."
212,I can tell you now I don't know nothin' about it.
213,"Well, that might be true, but I still need to ask you a few questions."
214,"Yeah, well..."
215,I got a herd of cattle here I gotta drench. Won't get done by itself.
216,"I understand, Mr...?"
217,Bailey. Sam Bailey.
218,"Mr Bailey, do you remember seeing any train stopping down on the highway..."
219,on Friday or Saturday night?
220, There's always someone stopping there.
221,"Mostly truckies checkin' their load, I guess."
222,What about last Friday or Saturday night?
223,Might've been.
224,I don't recall any details.
225,"Like I said, I don't know nothin' about it."
226,Normally in bed by 9:00.
227,I'm up at sparrow's.
228,Do you remember seeing anything strange out here lately?
229,Well...
230,We got these wild dogs running round everywhere.
231,Killed two of me young calves last week.
232,Only other thing strange is...
233,"these young hoodlums come out from town, tryin' to steal everything I own."
234,"Yeah, I got signs and guard dogs and bloody car alarms."
235,Don't stop their little black hands gettin' on somethin'.
236,Are you a real copper or are you...
237,one of them black trackers who turns on his own type?
238,No disrespect intended.
239,"How much land you got here, Mr Bailey?"
240,Far as you can see.
241,That's a lot of dirt.
242,"Yeah, I guess."
243,"Well, your children will have a pretty good future, then, won't they, eh?"
244,You're a lucky man.
245,"You know your way back to town, don't you?"
246,He had a smile on him like a shot fox.
247,Johnno.
248,Jay boy.
249,"Look, I'm gonna have to get back to ya, Jack."
250,I will. Bit later.
251,Hooroo.
252,What?
253,What do you know about young girls prostituting to truck drivers...
254,out on the highway?
255,"Oh, come on, Jay."
256,It's only rumours.
257,Nothing's ever been officially reported.
258,"Yeah, well, I wanna put a sting on the truck drivers."
259,We'll put a young girl out on the highway...
260,and we'll get a pool of suspects.
261,Where am I gonna get the men for that?
262,What makes you think you're looking for a truckie?
263,"Come on, Sarge, this shit has to be cleaned up anyway."
264,"One war at a time, Jay."
265,It's all we can afford.
266,I'll tell you what...
267,I'll put in a request for a reward for information.
268,A reward?
269,"Jesus, Sarge."
270,That's the best I can do.
271,"Jay, got Jim on line one for you."
272,"JIM:  Approximate time of death occurred sometime, oh..."
273,last Friday night.
274,'Cause of death is...
275,"is definitely from the laceration across the trachea, probably from a, say, Like a hunting knife?"
276,Yeah.
277,But not a cheap one.
278,"High quality, very sharp."
279,"And the bite marks are definitely from a dog, a bloody big one."
280,You got any fibres?
281,"Hang on a sec. Yeah, yeah."
282,"Um, a fight brown fibre..."
283,was found in one of the girl's fingernails.
284,It's been sent away for analysis.
285,What does it look like?
286,"Oh, I really couldn't say, mate."
287,"Well, what about the blood tests?"
288,"Uh, nothing, really."
289,Pretty much came up with a blank except for...
290,minute alcohol traces.
291,"Alright, thanks, Jim."
292,"No Worries, mate."
293,"G'day, Jay."
294,"Long time, no see."
295,"Hey, Mick. How you going?"
296,"Oh, can't complain."
297,How's your old man's Winchester holding up?
298,Still shootin' straight.
299,"Yeah, don't make 'em like that anymore."
300,"Well, what can I do you for?"
301,What have you got in the way of hunting knives?
302,Let's see. Uh...
303,"This is the range I got here, but I could, uh..."
304,get somethin' in special on order if you want.
305,Give us a look at that big Blackhawk you got there.
306,She's a beauty.
307,You sold many of these lately?
308,"Yeah, quite a few."
309,Pig hunters and roo shooters just love 'em.
310,Do you remember who you might've sold them to?
311,Ooh. Gee whiz.
312,Memory's not what it used to be and...
313,"only take cash for those, so I got no records."
314,"OK. Thanks, Mick."
315,This wouldn't have anything to do with that...
316,girl they found on the highway?
317,"I really can't say, Mick."
318,Thought as much.
319,But I'll take a box of your best .308s... hollow points.
320,"Yeah, no problems, Jay."
321,"How you going, my little brothers?"
322,"Good. You a copper, brah?"
323,Yeah.
324,"We hate coppers, brah."
325,"We kill coppers, brah."
326,BOY âª2: Who you lookin' for?
327,Ashley. You seen her?
328,They gone.
329,Gone where?
330,Different town.
331,Yeah? How'd they go?
332,Train.
333,"OK. Thanks, little brother."
334,I found a phone like that.
335,Yeah? Where'd you find it?
336,Just there.
337,"Just there, on the road?"
338,Yeah.
339,Is that a real gun?
340,What do you think?
341,Can I look at it?
342,"Well, you tell me what you did with that phone first..."
343,and I'll give you a look at my gun.
344,Show me your gun first.
345,Let me hold it.
346,You're not allowed to look at it!
347,"Thanks, little brother."
348,Heard you was back.
349,"How ya been, Mary?"
350,Not bad.
351,What you up to?
352,"Oh, not much."
353,Just workin'.
354,"Ah, still workin' hard."
355,"Yeah, uh... heard you were a big detective now."
356,Yeah.
357,Guess so.
358,"So you must be on good money, eh?"
359,You look good.
360,Yeah?
361,Except for...
362,You know what I'm like.
363,"I'm not gonna back away from a fight, am I?"
364,Is Crystal home?
365,You here about Julie?
366,You know about her?
367,"So, what?"
368,You're just here for work?
369,Not here to see your daughter?
370,Crystal!
371,Your father wants ya.
372,What you been doin'?
373,"Oh, nothin'."
374,Just Facebookin' and watchin' TV.
375,What happened to you?
376,Just fightin'.
377,How you goin' with your mother?
378,Still drinkin'?
379,All the time.
380,You know Julie Mason's dead.
381,Are you good friends with Tarni?
382,Sort of.
383,What did Julie call you about?
384,Nothin' much.
385,Was she in trouble?
386,She never said anything about it.
387,Did you know she was goin' with truckies?
388,Out on the highway?
389,"Crystal, maybe you should come live with me for a while."
390,What for?
391,Get out of here for a few months. It'll do you good.
392,Or what about I get a job for ya?
393,I don't know.
394,Like in a dress shop or something.
395,What am I gonna do in a dress shop?
396,Jay boy.
397,"Hey, Johnno."
398,What you doing out here in the middle of the night?
399,"Oh, you know, working late."
400,"You work too hard, Jay boy, too hard."
401,"You should learn to relax a bit, eh?"
402,Maybe you should ask Sarge.
403,Ask Sarge for a bit of down time.
404,"Yeah, I wish."
405,"Yeah, don't we all."
406,Don't we all.
407,What about you guys?
408,What are you doing?
409,I don't know. Just doing a bit of intelligence.
410,Intelligence work.
411,"Intelligence work, eh?"
412,Yeah. Intelligence work.
413,"We've been working out here a long time now, a long time."
414,"Gone a long, long way to get where we are."
415,Is that right?
416,Yeah.
417,And we'd really hate for someone to come along and fuck up all the hard work.
418,"Hey, can I, um..."
419,"can I ask you something, if you don't mind, eh?"
420,"You know, from one cop to another."
421,You ever... ever kill anyone?
422,"Come on, Johnno."
423,"No, I mean by accident."
424,Sounds like you're the one who needs a break.
425,"No, seriously, Jay boy."
426,"Would you... would you tell anyone? You know, if you did?"
427,"I mean, if you could... you know, if you could get away with it, would you tell anyone?"
428,"Is there something you wanna tell me, Johnno?"
429,"Nah, I'm just fuckin' with ya, Jay boy! I'm just fuckin' with ya!"
430,"Yeah, well, I better get home to sleep."
431,"Yeah, good idea, Jay."
432,Good idea.
433,"Mate, maybe we could go out for a feed sometime."
434,Have a bit of a yarn.
435,Hmm? Bit of a yarn.
436,"Yeah, maybe."
437,No worries.
438,"Goodnight, Jay boy."
439,Jay.
440,"Hey, Sarge."
441,How are the grandkids?
442,Spoilt.
443,Nice horse.
444,Worth a penny.
445,Or two.
446,You know your horses.
447,I'd expect that from a bloke...
448,whose father was head stockman round these parts.
449,My first memory's on the back of his horse.
450,Out at Slaughter Hill Station.
451,That's before everyone left the mission and moved into town.
452,"The simple life, hey, Jay?"
453,Whatever happened to it?
454,Warming up.
455,"Yeah, she's gonna be a hot one, alright?"
456,I could do with a bit of amber.
457,"Cheers, Jay."
458,"So, how's it going?"
459,Still lookin' for a truckie?
460,I don't know what I'm looking for.
461,It's hard to keep track of these young girls.
462,They don't like talking much.
463,I can imagine.
464,What do you know about Johnno before he joined the cops?
465,What do you mean?
466,"Well, I saw him out on the highway last night with Robbo."
467,He was acting a bit strange.
468,Probably thought the same thing about you.
469,Her's from up north.
470,He got in a bit of trouble with the police up there.
471,Had to cop a transfer.
472,What kind of trouble?
473,"I don't know the details, to be honest."
474,What do you reckon he was doing out there?
475,Not too sure.
476,"Now, come on, Jay."
477,Don't get all paranoid on me.
478,Sometimes Johnno's gotta go for a while without a wash.
479,That red dust can be hard to get off.
480,What if that red dust don't come off no matter how hard you try?
481,"Ah, come on, Jay."
482,Your hands are gonna get a bit grubby from time to time.
483,You'll get used to it.
484,Johnno's doing a good job.
485,He's got some big busts coming up.
486,Make sure you don't get caught in the middle.
487,That's OK.
488,Been there all my life.
489,"What, caught in the middle?"
490,"Yeah, I guess you have, you poor bugger."
491,I've just remembered there's something I've gotta do.
492,"I'll see you later, Jay."
493,"Yeah, no worries."
494,"Thanks, Sarge."
495,What are you doing here?
496,What's going on?
497,With what?
498,With Crystal.
499,What about her?
500,What's she hanging around those crazy girls for?
501,She's been hanging around them girls for years.
502,She got a boyfriend?
503,I don't know. Why don't you go ask her yourself.
504,'Cause she won't talk to me.
505,Of course she won't.
506,She told me you asked her to go live with ya.
507,She spent the whole night in her room crying after that.
508,Nothing I could say to her.
509,"Too late, Jay What happened to you?"
510,What?
511,Who the fuck do you think you are?
512,"Livin' over there all by yourself in the big, empty house."
513,Who do you think you are.
514,What did you want me to do?
515,Stay around here and watch you drink your life away?
516,I did that one with my old man.
517,"Hey, you weren't doing too badly yourself, remember."
518,At least I'm trying to make a difference in this town.
519,Yeah?
520,How's it workin' for ya?
521,"You see, I know I've got problems."
522,And I made mistakes.
523,But at least I know who I am.
524,Do you? Really?
525,"G'day, Mr Murray."
526,Mr Murray.
527,Mr Murray?
528,Who's there?
529,Mr Murray?
530,Who wants to know?
531,I'm Detective Jay Swann.
532,"Policeman, hey?"
533,"Well, you don't have to worry about me..."
534,driving without a license anymore.
535,Old girl finally packed it in.
536,I got everything I need right here.
537,Until my old wheels pack it in.
538,"Yeah, it's the roadkill."
539,I eat the roadkill.
540,Kangaroos and the rabbits and...
541,occasional pig and...
542,Can't come at the foxes.
543,You just got to be quicker than those...
544,mongrels.
545,"Did you see them on the way in, did you?"
546,"See who, Mr Murray?"
547,The fuckers are everywhere now.
548,What's everywhere?
549,Those mongrel wild dogs.
550,Fuckers come in.
551,They... they tore him to bits.
552,Bless his little soul.
553,"I'm sorry about your dog, Mr Murray."
554,Dog?
555,He was more than a dog!
556,He was everything.
557,Mr Murray...
558,do you remember you called the police a few months ago?
559,You said that you saw one of those wild dogs...
560,out on the highway.
561,You said that it was carrying something in its mouth.
562,You said it was a human bone.
563,A human bone?
564,"Yeah. That's right, Mr Murray."
565,You said that you saw one of those dogs out on the highway...
566,and it was carrying a human bone in its mouth.
567,And you said something terrible had happened.
568,"Do you remember, Mr Murray?"
569,Could've been.
570,My memory's not what it was.
571,Never be the same again.
572,You also said...
573,the police should check the town for missing people.
574,"Do you remember, Mr Murray?"
575,You don't know what something is...
576,until it ain't there anymore.
577,When time has its way with you...
578,not even your dreams can bring it back.
579,"OLD BOY: Hey, nephew!"
580,"Hey, Old Boy."
581,How you going?
582,Why didn't you tell me Julie was murdered?
583,"I couldn't say too much, you know? Secret police business."
584,"Yeah, right."
585,You know the family who used to live here?
586,Yeah.
587,But I don't want any trouble or anything...
588,you know what I'm saying?
589,You know what I'm getting at here?
590,"Yeah, don't worry."
591,I get ya.
592,I won't say anything.
593,Hmm.
594,"Yeah, well, that mob moved out some time ago."
595,Do you know why?
596,"No, a lot of trouble in there."
597,Lots of trouble.
598,"Oh, schizin' out on drugs, booze, carryin' on, fightin'."
599,"Well, I remember the old man in there..."
600,held the baby over the oven.
601,Threatened he was gonna cook the baby in the oven. Yeah.
602,"Serious he was, too."
603,Was there a teenage girl living here? Nelli Dargon?
604,"Yeah, she was living there for a while, but she moved out. Yeah."
605,Did she have any friends?
606,"Yeah, next door there."
607,She belong to Mavis MacDonald.
608,Jasmine's her name.
609,"Jasmine, yeah."
610,She a good girl too.
611,"Alright, thanks, I'll catch up with you later on."
612,Alright. And don't forget...
613,keep it dark.
614,OK. Don't worry.
615,I'll keep it dark.
616,Yep.
617,Yeah.
618,"Oh, Mrs MacDonald."
619,I was just wondering if I could have a word with Jasmine.
620,Is she home?
621,What's this about?
622,I just want to ask her a few questions about her friend...
623,that used to live next door...
624,Nelli Dargon.
625,"Oh, that crazy house."
626,Jasmine!
627,Policeman wants you.
628,"Yeah, she was on drugs and grog."
629,What kind of drugs?
630,Anything.
631,She didn't care.
632,What about you?
633,You take drugs?
634,No way. My man'd kill me and send me to hell.
635,Did she have a boyfriend?
636,"Nah, noone could handle her."
637,But she used to see this one fella.
638,What fella?
639,I don't know. She said...
640,he'd give her drugs and grog if she'd meet him at the motel.
641,What motel?
642,"""Dusk till Dawn""."
643,Did she ever say if this fella was black or white?
644,White fella.
645,"Do you know my girl, Crystal?"
646,"Yeah, I know her."
647,"Does she ever do this kind of thing, like Nelli did?"
648,I don't know her that well.
649,OK.
650,"Thanks, Jasmine."
651,How you going?
652,Pretty good now.
653,Do you have any regular customers?
654,"Yeah, one or two. Um..."
655,"Some truck drivers, contractors."
656,Did any of them stay here around October 10?
657,"Um, let me just check for you."
658,Ah!
659,Got one.
660,It's a William Smith.
661,Do you happen to have a vehicle registration number?
662,"No. He always left that part blank, actually."
663,Do you remember what this William Smith looked like?
664,"Look, I get so many people through here..."
665,"I really can't remember. He was a pretty averagelooking cowboy, I guess."
666,"Hey, you must have worked with that poor young police officer."
667,Which police officer?
