,dialog
0,"What'd you do with my stuff, man?"
1,"Now, when it happens, don't act mad."
2,You gotta look calm.
3,"Answer their questions, but don't tell 'em nothin' extra."
4,Keep your hands out your pockets.
5,"You drop somethin', leave that shit where it's at."
6,Maverick.
7,Leave that stuff where it's at.
8,My bad.
9,"Now, one day, y'all gonna be with me, and you best bet we gonna get pulled over."
10,That don't mean I did somethin' wrong.
11,Maybe I made a mistake driving or maybe I ain't do nothin' at all.
12,You gonna see me with my hands like this.
13,On the dashboard.
14,Come on.
15,"Now, you keep your hands posted 'cause moving makes the police get all nervous."
16,"If I ain't with you, you ask for me."
17,"It can get real dangerous, so don't argue with them..."
18,but keep your hands where they can see 'em.
19,This how you gonna act.
20,We straight?
21,I was nine years old when I first got the talk.
22,"Seven, my halfbrother, was ten."
23,Sekani was one.
24,"Now, just because we gotta deal with this mess..."
25,don't you ever forget that being black is a honor 'cause you come from greatness.
26,"Now, this the Black Panther TenPoint Program."
27,This our own Bill of Rights.
28,I want you to learn it.
29,'Cause Imma ask you about it.
30,Imma quiz you.
31,"Really, Maverick?"
32,Know your rights.
33,Know your worth.
34,You understand?
35,Starr. Two R's.
36,Daddy named me that.
37,"And don't ask me what the extra ""R"" is for."
38,Sekani! Learn how to aim! Dang!
39,Mama! Sekani peed everywhere again!
40,"And, boy, wipe that seat."
41,Mama and Daddy had me when they were 17.
42,My nana even threw Mama out the house.
43,Said Daddy was no good...
44,just a pusher for the King Lords gang.
45," Hey, baby."
46, You seen my wallet?
47," Yeah, I put it on the dresser."
48, I can't find it.
49,"Well, I know it's there, baby."
50,I put it there.
51, Good morning.
52, Good morning.
53,She swore raising the dead was more likely than Mama and Daddy making it.
54,Mama...
55,They stay proving her and everybody else wrong.
56,"And in large part, that means making sure that we don't make the same mistakes."
57,You know what?
58,Why don't you just sit your cute butt down and let me do what I do. Okay?
59,"Oh, really?"
60,You gonna let me do what I do?
61,Ain't they too old for that?
62,Boy...
63," Good morning, y'all."
64, Good morning.
65,"Their cuteness can be extra, but they're adorable."
66, I love you.
67, I love you.
68,I can't even lie.
69,They're my OTP.
70,One true pairing.
71,Mama and Daddy were born in Garden Heights.
72,Their first kiss was in the Haven Acres Projects.
73,Daddy says our life is here.
74,'Cause our people are here.
75,We got Mr. Reuben's barbecue...
76,...Mr. Lewis's barbershop...
77,...a Walmart and Daddy's store.
78,"Carter's Grocery is where you get your milk, Newport shorts, Hot Cheetos, hot gossip, and anything else that you might need in a hurry."
79,Mama thinks Daddy is scared of change.
80,She left the Garden when she was a little girl.
81,And she wants us to get out too.
82,"Either way, you gotta stay ready."
83,'Cause Garden Heights is always gonna be ready for you.
84,"Seven? Now, are you staying at your mama's house or with us tonight?"
85,At Mama's.
86,As long as King ain't there.
87,And then there's King.
88,He runs the King Lords.
89,My dad used to be his righthand man.
90,"The high school is where you go to get jumped, high, pregnant, or killed."
91,We don't go there.
92,Not since what happened to my friend Natasha.
93,So Mama sent us to another school where everyone's collegebound.
94, Sekani?
95, Yeah?
96,"Baby, remind me what your name means again."
97,Joy!
98,"Yes! So that means I want you to be just as big a joy at school as you are at home, okay?"
99,Okay!
100,But less loud!
101,Why you yelling?
102,You guys have a good day.
103," Love you, Mommy!"
104," I love you too, Sekani."
105,Garden Heights is one world.
106,Williamson is another.
107,And I gotta keep it separate.
108,"So when I'm here, I'm Starr Version Two."
109," See you later, bro."
110, Peace out.
111,That means flipping a switch in my brain.
112,Williamson Starr doesn't use slang.
113,"If a rapper would say it, she doesn't."
114,Even if her white friends do.
115,"Hey, boo."
116," Hey, how are you?"
117," I'm good, girl."
118,Slang makes them cool.
119,"Slang makes me ""hood."" Yo! Those kicks are lit!"
120,Thanks. Space Jams.
121,Williamson Starr is approachable.
122,No stank eyes or yelling because Williamson Starr is nonconfrontational.
123,"Basically, Williamson Starr doesn't give anyone a reason to call her ghetto."
124,And I hate myself for doing it.
125,Let me at him.
126,I'll kick his ass.
127,"Hailey, you're violent."
128,"Uh, okay. If someone tries to do some shit to my girl, I have to get him."
129,"I'm serious, Starr."
130,I will go after him.
131,I will kick his ass.
132,I do not care.
133,You just say the word.
134,Hailey must've watched Straight Outta Compton again last night.
135,"You just say the word, and I'm gonna do it."
136,What did you say to him?
137,"We're not really talking right now, so..."
138,Who's not really talking to whom?
139,"Well, Chris lured Starr over to his house and sprung a condom on her."
140,What did you say?
141,"No, no, no. What did you do?"
142,What size was it?
143,"Maya! Oh, my God!"
144,"You're on a ""need to know."" Okay! And I need to know."
145,"Look, Chris is great, but I'm just not ready."
146,"And eventually, I'll get there, but he just assumed."
147,Assuming. Punishable by death.
148,"So, you're gonna Taylor Swift this?"
149,She doesn't even rank on the angry girlfriend scale anymore.
150,Nah. I'm gonna BeyoncÃ© his ass.
151,Watch.
152,"I really wanna ""Elevator Solange"" his ass."
153,Damn.
154,He's wearing the same Space Jam Elevens as mine.
155,He knows Jordans are my weakness.
156,He smells like Old Spice.
157,His lips are soft.
158,He swear he's DJ Khaled.
159,I can't lie.
160,It still gets me every time.
161,Nuhuh. Nope.
162,I don't like what you did the other day.
163,"Starr, I'm sorry."
164, I messed up. Bad.
165, Mmhmm.
166,But I keep thinking that we're getting closer...
167,"and ask to take you out on Saturday, and you don't say yes."
168, I'm busy.
169, Right.
170,Every time?
171,So I figure maybe you want me to meet your parents first.
172,"But whenever I ask to come over, you never say yes."
173,They're busy too.
174,"Well, it seems like everyone's busy, Starr."
175,"So then I think, ""How do I get closer to my own girlfriend?"
176,"Maybe she wants to skip the whole flowers and chocolate part and just get right to it."" Chris, you are acting a damn fool, if you think I'm one of these little thirsty girls running around here that you can hit."
177,"Starr, you're not."
178,"You're way more important than that to me, okay."
179,We've been dating for almost six months.
180,"And if you can't tell that by now, then I don't know what else you want me to say."
181,Other than I miss you.
182,A lot.
183,I made that beat for you.
184,Come on.
185,You gotta tell me that's fire.
186,It's a'ight.
187,I wanna hear you say it.
188,It's okay.
189,Wow. Okay.
190,I guess that means I gotta test it.
191,"I'm fully aware that some people would accuse him of acting black, but this is just Chris."
192,And he makes me laugh.
193,"Hey! Get it, man!"
194,"Oh, my God."
195,Don't spin. Come on.
196,Do you forgive me now?
197,Yeah.
198,We get the questions.
199,Why is he dating her?
200,"On the real, I sometimes wonder the same thing."
201,"Now, the stares usually come from the rich white girls."
202,But they're way too scared to actually say anything to our faces.
203,Let me take you somewhere on Saturday.
204,To do what?
205,We can eat burgers.
206,I let you beat me in foosball...
207,Let me beat you?
208, Mmhmm.
209, And then we can kiss on a Ferris wheel.
210,That is so cheesy.
211,That's what I got.
212,Okay. But can we do Sunday instead?
213,I'll pick you up?
214,I'll meet you.
215,Augustine's?
216,Mmhmm. 3:ÃÃ?
217,So romantic.
218,You are a fool.
219,I'm your fool.
220,Yeah.
221,That is true.
222,Chris is the best thing about being Starr Version Two.
223,And sometimes I think that's all I want to be.
224,Until the weekend comes around.
225,I'm not sure I belong at this party either though.
226,Neither version of me.
227,Hey!
228,Kenya's about the only person I hang out with in Garden Heights.
229,Even if she gets on my nerves sometimes. I swear.
230,Man.
231,What?
232,"I mean, every girl in here all laid and slayed but you wanna come up in here looking basic as hell."
233,"What? Girl, these are the Retro Threes."
234,"Classic and comfortable, and watch."
235,You're gonna be wishing that you was wearing them tonight when you limpin' out of here like a brokedown gazelle. Bam.
