,dialog
0,"MURTAUGH: Riggs, you sure we're on the right street?"
1,Yeah.
2,Yeah?
3,We must be getting warm.
4,You see anything?
5,Where? I don't see anything.
6,This must be the place.
7,Holy shit!
8,What the hell is that?
9,Jesus.
10,Who's this joker?
11,I don't know.
12,A spokesman for the NRA.
13,Regular asshole.
14,What do we do now?
15,Run him over.
16,What if he shoots us with that rifle?
17,He hasn't yet. Maybe he won't.
18,What if he does?
19,Don't be a Don'tBee.
20,Be a DoBee. Be positive.
21,MURTAUGH: Positive?
22,Let's run him over.
23,Glad you see things my way.
24,I hope he doesn't turn around.
25,He won't. We'll creep up on him slow so he won't notice.
26,Yeah. Okay.
27,RIGGS: Will him not to turn.
28,Power of positive thinking.
29,Don't turn.
30,"Come on, will him with me."
31,Will him?
32,Don't turn around.
33,"l need you, man. Don't turn around."
34,MURTAUGH: Don't turn around.
35,Just believe.
36,Don't turn around!
37,We're better than him.
38,We're better!
39,He's turning.
40,"I was wrong, l was wrong."
41,"Get down, get down."
42,They just bounce right off him!
43,"I saw. We're in trouble, man!"
44,Shit. I'll draw his fire.
45,You run for cover.
46,"No, I'll draw his fire."
47,You run for cover.
48,Are you out of your mind?
49,"You got a wife, kids. l got less to lose!"
50,"Hey, Riggs."
51,"Get going, Rog. Get out of here!"
52,"Riggs, l wasn't supposed to tell you this, but Lorna's pregnant."
53,You're gonna be a father.
54,Get going. Get What'd you say?
55,You're gonna be a father!
56,Riggs....
57,GUNSHOTS SIREN WAILlNG lN DlSTANCE She was afraid to tell you.
58,She was afraid you'd get angry.
59,You never talked about children?
60,Shit.
61,A baby.
62,There's something l'm not supposed to tell you too.
63,What?
64,Rianne's pregnant.
65,You're gonna be a grandfather.
66,Rianne's what?
67,But Rianne can't be pregnant.
68,She's not married.
69,"Well, l don't think she intended to get that way."
70,They asking me to be a granddaddy?
71,Mmhm. Yeah.
72,ON RADlO a fire In the hole Son of a GUNSHOTS Here's what we'll do.
73,Take your clothes off.
74,What the hell for?
75,What for?
76,Yeah.
77,"Okay, you run."
78,"FlameO here turns, sees you in your undies."
79,"It distracts him, and that's when l shoot."
80,Shoot what?
81,The valve on that napalm tank!
82,Before he shoots me?
83,Maybe.
84,Maybe?
85,Is he black?
86,Too much armor on.
87,I can't tell!
88,No! Not him!
89,The father of the baby!
90,Okay.
91,Please let him be black!
92,Fire in the hole RIGGS: Get going! Here he comes!
93,Are those little hearts?
94,"Not now, Riggs."
95,Just hit the damn valve!
96,"Okay. Also, flap your arms and make noises like a bird."
97,Flap my arms? Why?
98,It'll distract him more.
99,l need him to turn.
100,"All right, all right."
101,On two!
102,We always go on three.
103,No time for three. Go. Two!
