,Unnamed: 0,dialog
0,0,"MURTAUGH: Riggs, you sure we're on the right street?"
1,1,Yeah.
2,2,Yeah?
3,3,We must be getting warm.
4,4,You see anything?
5,5,Where? I don't see anything.
6,6,This must be the place.
7,7,Holy shit!
8,8,What the hell is that?
9,9,Jesus.
10,10,Who's this joker?
11,11,I don't know.
12,12,A spokesman for the NRA.
13,13,Regular asshole.
14,14,What do we do now?
15,15,Run him over.
16,16,What if he shoots us with that rifle?
17,17,He hasn't yet. Maybe he won't.
18,18,What if he does?
19,19,Don't be a Don'tBee.
20,20,Be a DoBee. Be positive.
21,21,MURTAUGH: Positive?
22,22,Let's run him over.
23,23,Glad you see things my way.
24,24,I hope he doesn't turn around.
25,25,He won't. We'll creep up on him slow so he won't notice.
26,26,Yeah. Okay.
27,27,RIGGS: Will him not to turn.
28,28,Power of positive thinking.
29,29,Don't turn.
30,30,"Come on, will him with me."
31,31,Will him?
32,32,Don't turn around.
33,33,"l need you, man. Don't turn around."
34,34,MURTAUGH: Don't turn around.
35,35,Just believe.
36,36,Don't turn around!
37,37,We're better than him.
38,38,We're better!
39,39,He's turning.
40,40,"I was wrong, l was wrong."
41,41,"Get down, get down."
42,42,They just bounce right off him!
43,43,"I saw. We're in trouble, man!"
44,44,Shit. I'll draw his fire.
45,45,You run for cover.
46,46,"No, I'll draw his fire."
47,47,You run for cover.
48,48,Are you out of your mind?
49,49,"You got a wife, kids. l got less to lose!"
50,50,"Hey, Riggs."
51,51,"Get going, Rog. Get out of here!"
52,52,"Riggs, l wasn't supposed to tell you this, but Lorna's pregnant."
53,53,You're gonna be a father.
54,54,Get going. Get What'd you say?
55,55,You're gonna be a father!
56,56,Riggs....
57,57,GUNSHOTS SIREN WAILlNG lN DlSTANCE She was afraid to tell you.
58,58,She was afraid you'd get angry.
59,59,You never talked about children?
60,60,Shit.
61,61,A baby.
62,62,There's something l'm not supposed to tell you too.
63,63,What?
64,64,Rianne's pregnant.
65,65,You're gonna be a grandfather.
66,66,Rianne's what?
67,67,But Rianne can't be pregnant.
68,68,She's not married.
69,69,"Well, l don't think she intended to get that way."
70,70,They asking me to be a granddaddy?
71,71,Mmhm. Yeah.
72,72,ON RADlO a fire In the hole Son of a GUNSHOTS Here's what we'll do.
73,73,Take your clothes off.
74,74,What the hell for?
75,75,What for?
76,76,Yeah.
77,77,"Okay, you run."
78,78,"FlameO here turns, sees you in your undies."
79,79,"It distracts him, and that's when l shoot."
80,80,Shoot what?
81,81,The valve on that napalm tank!
82,82,Before he shoots me?
83,83,Maybe.
84,84,Maybe?
85,85,Is he black?
86,86,Too much armor on.
87,87,I can't tell!
88,88,No! Not him!
89,89,The father of the baby!
90,90,Okay.
91,91,Please let him be black!
92,92,Fire in the hole RIGGS: Get going! Here he comes!
93,93,Are those little hearts?
94,94,"Not now, Riggs."
95,95,Just hit the damn valve!
96,96,"Okay. Also, flap your arms and make noises like a bird."
97,97,Flap my arms? Why?
98,98,It'll distract him more.
99,99,l need him to turn.
100,100,"All right, all right."
101,101,On two!
102,102,We always go on three.
103,103,No time for three. Go. Two!
