,Unnamed: 0,dialog
0,0,You want to be Atticus Finch. Good!
1,1, I like him.
2,2, Why?
3,3," Well, he's honest."
4,4, Yes.
5,5, He stands up for the right thing.
6,6, Yes.
7,7, And he's a good father.
8,8, He is.
9,9, Did it all by himself.
10,10, Did what all by himself?
11,11, Raised his kids.
12,12, He didn't!
13,13,Who was the woman that came every day?
14,14, Calpurnia.
15,15, Calpurnia. He remembered.
16,16, What about Boo?
17,17, What?
18,18,Boo's the most interesting character in To Kill a Mockingbird.
19,19,Excuse me.
20,20,"I'm a teacher. ""Xmas"" isn't in the English language."
21,21,"It's either ""Merry Christmas""..."
22,22,"...or ""Happy Holidays."" Thank you."
23,23,Sure.
24,24,Tell me about Livia.
25,25,She killed everyone so her son could be king. Like Nixon.
26,26,"Please, please, please."
27,27, Anita?
28,28," Hey, Mom."
29,29, Want something to eat?
30,30," No, thanks. I already ate."
31,31, Are you sure? I made soy cutlets.
32,32, I'm fine.
33,33,Wait. You've been kissing.
34,34," No, I haven't."
35,35," Yes, you have."
36,36, I can tell.
37,37, You can't tell.
38,38,"Not only can I tell, I know who it is. It's Darryl."
39,39,What you got under your coat?
40,40, Why can't we listen to our music?
41,41, It's about drugs and promiscuous sex.
42,42,Simon and Garfunkel is poetry.
43,43,The poetry of drugs and promiscuous sex.
44,44,"Honey, they're on pot."
45,45,"First, it was butter."
46,46,Then sugar and white flour.
47,47,"Bacon, eggs, bologna, rock'n'roll, motorcycles."
48,48,"Then, it was celebrating Christmas in September..."
49,49,...when it wouldn't be commercialized.
50,50, What else will you ban?
51,51, You wanna rebel against knowledge.
52,52, I give you the Cliffs Notes on life.
53,53, We're like nobody else I know!
54,54,I'm a college professor. Why can't I teach my own kids? Use me.
55,55,Darryl says you use knowledge to keep me down.
56,56,"He says I'm a ""yes"" person and you are raising us in a ""no"" environment."
57,57,"Clearly, Darryl doesn't hear ""no"" much."
58,58,I can't live here! I hate you!
59,59, William hates you.
60,60, I don't.
61,61,You don't even know the truth.
62,62, Don't be a drama queen.
63,63, Feck you!
64,64,This is a house of lies!
65,65,There it is.
66,66," Your sister used the ""F"" word."
67,67," I think she said ""feck.""  What's the difference?"
68,68," The letter ""U."" Are you really in our grade?"
69,69,"Hey, guys! Check it out."
70,70,William doesn't have any pubes.
71,71," How old are you, man?"
72,72, He's not a man.
73,73, He's a baby.
74,74, Bet he doesn't get zits.
75,75,Everyone has hair.
76,76,What's wrong?
77,77," How old are you, like 2?"
78,78, How pathetic!
79,79,Where are your pubes?
80,80,I had them.
81,81,I shaved them off.
82,82,He's a funny guy.
83,83,"See you, pubes."
84,84," Hey, noodle."
85,85," Hi, guys."
86,86,Put on your seat belt.
87,87,We got our annuals.
88,88, Received your annual.
89,89," Right, received."
90,90,I look so much younger than everyone.
91,91,Enjoy it while you can.
92,92,"Mom, it's time."
93,93, Can this wait till we get home?
94,94, Pull over.
95,95,Tell him the truth.
96,96,Tell him how old he is.
97,97,He knows how old he is.
98,98,Kids make fun of him because he looks young.
99,99,Nobody includes him.
100,100,"They call him ""The Narc.""  They do?"
101,101, What's a narc?
102,102, A narcotics officer.
103,103, What's wrong with that?
104,104,"Come on, you guys."
105,105,It's no big deal.
106,106,I'm 12.
107,107,She skipped me a grade.
108,108,Big deal. I'm a year younger.
109,109,"They're 13, I'm 12."
110,110,Aren't I?
111,111,I put you in first grade when you were 5 and didn't tell you.
112,112, So I'm how old?
113,113, This will scar him forever.
114,114,Don't be Cleopatra.
115,115,We have to be Mom and Dad.
116,116,You put too much pressure on him.
