,dialog,label_word_embedding_fox_news
0, Legend has it that the very first candy cane was created one Christmas by a choir master to help keep the children occupied during Christmas mass.,not hate speech
1,"The choir master curved the candy into a hook, which was meant to represent the handle of the staff of the shepherd.",not hate speech
2,"My grandma Carol loved that story, and it inspired her to make the greatest candy canes in the world.",not hate speech
3,upbeat music I can't believe the board is doing this to me.,not hate speech
4,Empire Corporate Recovery from New York?,not hate speech
5, Apparently they're quite good.,not hate speech
6, It's just another cost we don't need.,not hate speech
7, The board is probably just concerned about the future of the company.,hate speech
8, But I'm the new CEO.,not hate speech
9,I'm concerned with the future of the company.,not hate speech
10,I know Merry & Bright hasn't turned a profit these last couple years but I am really...,not hate speech
11,I'm venting aren't I?,hate speech
12,Am I venting?,not hate speech
13, A smidge.,hate speech
14, Okay.,not hate speech
15," Uh, mini candy cane?",not hate speech
16, Yes.,not hate speech
17,Thank you.,not hate speech
18,"You know let's, let's just talk about something else.",not hate speech
19,How are things with you and Pete?,not hate speech
20, He keeps dropping hints that something big is in the works.,not hate speech
21, Hints?,not hate speech
22, You know.,not hate speech
23, Sophie!,not hate speech
24," Okay, not hints.",not hate speech
25,It's more of a feeling.,hate speech
26,"I mean, we've been together for three years and Christmas is the perfect time to get engaged.",hate speech
27,"Oh, Cate I'm, I'm sorry, I forgot.",not hate speech
28," Don't worry, that's ancient history.",not hate speech
29,I'm happy for you.,not hate speech
30,This calls for a toast.,hate speech
31,gentle music Try the mint deluxe.,not hate speech
32,Cheers chuckles.,not hate speech
33,upbeat music  A candy cane company?,not hate speech
34,You want me to do corporate recovery for a candy cane company?,not hate speech
35, The Merry & Bright Candy Cane Company to be specific.,not hate speech
36, I just finished working with Bermax Food Enterprises.,not hate speech
37," Yes, and Royce Rutherford was very happy with your work and he's a hard man to please.",not hate speech
38, I consult for major corporations.,not hate speech
39," I realize that working with a smaller company isn't what you're used to but this came across my desk, Gabe.",not hate speech
40,The board reached out to us.,hate speech
41,They think that they're in trouble.,not hate speech
42,"Now, this is a unique situation and it requires a unique talent.",hate speech
43," Oh, flattery?",not hate speech
44,You're bringing out all the big tools.,not hate speech
45, Merry & Bright reminds me of what we used to do.,not hate speech
46,Working with smaller independent companies helping them achieve their goals.,not hate speech
47, Can they afford us?,not hate speech
48," Well, I think we'll work something out.",not hate speech
49, It's almost two weeks until Christmas.,not hate speech
50,Aren't they winding things down?,not hate speech
51," It's the Christmas season at a candy cane factory, Gabe.",not hate speech
52,I would say things are winding up.,not hate speech
53,It's the perfect time to go.,not hate speech
54,"Now, after your two weeks I'll need you to submit a preliminary report.",not hate speech
55,We'll take it up in the new year and see where we stand.,not hate speech
56,"And if you're feeling the holiday itch, I hear that the Christmas season in Britewell is quite lovely.",not hate speech
57,playful music  I don't even know where Britewell is.,hate speech
58, Ohio.,not hate speech
59, Fine.,not hate speech
60," Great, I'll give them a call and tell them that you're on your way, and if you finish that report sooner rather than later, maybe you'll finally make it to one of our Christmas parties.",not hate speech
61, Merry Christmas.,not hate speech
62,"gentle music ""Deck The Halls"" by John Ceiriog Hughes  Yeah, I've always had that effect on people.",not hate speech
63,"They like me, I don't know why.",hate speech
64,They just do.,not hate speech
65, Hm chuckles.,not hate speech
66," Oh, hm.",not hate speech
67," So, my mom said that you used to uh, live in San Jose.",not hate speech
68,You know I went to Stanford.,not hate speech
69," Yeah, Fresno State here.",not hate speech
70,"Yeah, football.",not hate speech
71," Oh, a Bulldog.",not hate speech
72," Yeah, through and through.",not hate speech
73,Cate chuckles  I was actually on the badminton team.,not hate speech
74,"You know we won the  That's the one with the uh, the, the birdie?",not hate speech
75," Yeah, right, the one with the birdie.",not hate speech
76," Uh, excuse me?",not hate speech
77,"You know, I don't understand why she doesn't see me.",not hate speech
78,"playful music  I don't know, looks like you two aren't connecting.",hate speech
79," Yeah, I guess not.",not hate speech
80, Cate Yeah.,not hate speech
81,"playful music upbeat music  Wow, it's quite a tradition that you're starting Cate.",not hate speech
82,Making chocolates for every single employee.,not hate speech
83, I forgot how much I love doin' it.,not hate speech
84,"And you know, when's the last time you and me made chocolate together, like 10 years?",not hate speech
85,Always leave 'em with something sweet.,not hate speech
86," Yeah, that's what your grandmother taught us.",not hate speech
87,"gentle music Oh, how was your date Cate?",not hate speech
88," Nice rhyme, mom.",not hate speech
89," Yeah, it's the school teacher in me.",not hate speech
90," Well it was uh, it was good.",not hate speech
91, Really?,not hate speech
92," Yeah, if good means excruciating.",not hate speech
93, Oh no.,not hate speech
94,Jeffrey seemed like such a nice fellow.,not hate speech
95," Mom, I love you, but please stop setting me up with people okay?",not hate speech
96,"playful music There's, there's another one coming?",not hate speech
97," Well, it's Bernice's son, Gary.",not hate speech
98,He's from Akron and he's staying all week at the Britewell Inn.,not hate speech
99,He's here for a conference.,not hate speech
100," Mom  And so I thought that  Mom, mom, please.",not hate speech
101,"I just need to figure some things out for myself, okay?",not hate speech
102,"I'm just not ready to  You're not ready to date after Josh, I understand.",hate speech
103, And I'm really busy.,not hate speech
104, I thought that getting out there might be just a nice distraction for you.,not hate speech
105," Oh, you know I'm thinking about getting a dog.",not hate speech
106," Oh, yes.",not hate speech
107,That's what you were saying.,not hate speech
108, It might be nice to have a little companion that just doesn't talk about himself.,not hate speech
109," Well you can't really have a conversation with a dog, can you?",not hate speech
110,"They leave fur everywhere, chew up shoes, yapping at all hours.",not hate speech
111, And I might like that.,hate speech
112,"Joy scoffs  Well, what do I know?",not hate speech
113,I've never had a dog.,hate speech
114, Remember that adorable scruffy little mix at the rescue shelter I was telling you about?,not hate speech
115, Mm hm.,hate speech
116," Yeah, I stopped by after work.",not hate speech
117,He was gone.,hate speech
118," Oh, I'm sorry honey.",not hate speech
119,"Well, I guess it was just a matter of time.",not hate speech
120,I'm sure he found a nice home.,not hate speech
121,"Anyway, good things come to those who wait.",not hate speech
122,You never know what might be just right around the corner.,not hate speech
123," Let me guess, Gary from Akron?",hate speech
124, You'll see.,not hate speech
125,Cate sighs playful music Let's make sure we have an understanding.,not hate speech
126,"This is my house, my rules, and you are a guest here until Christmas Eve when I bring you to Cate.",not hate speech
127,I don't want any trouble.,not hate speech
128,No yapping.,hate speech
129,dog barking What did I just say?,not hate speech
130,"dog barks dog whining upbeat Christmas music bell dings  Sorry about that, I was just pluggin' in my monitor.",not hate speech
131,"Good morning Sir, my name's Pete.",not hate speech
132,How can I help you today?,not hate speech
133," Good morning, Pete.",not hate speech
134,"Gabe Carter, I'm supposed to be checking in this evening but I'd like to do that now if possible.",not hate speech
135," Yes uh, just a second.",not hate speech
136, Did you get my message?,not hate speech
137, Uh...,not hate speech
138,Here we are.,hate speech
139," I like to get in town a little early, you know?",hate speech
140,Get a sense of the place I'm gonna spend some time in.,not hate speech
141, Not a problem at all Mr. Carter.,not hate speech
142,"Uh, so what's your sense of our little town so far?",hate speech
143," It's, Britewell.",not hate speech
144,Pete chuckles  Sure is.,not hate speech
145,How long's your stay?,not hate speech
146, As short as possible.,not hate speech
147, What's that?,not hate speech
148, Nothing.,not hate speech
149," Well, it says here you're in for a week, with the option for two.",not hate speech
150,Well if you're here for the holidays we have our annual Christmas Jubilee on December 24th.,not hate speech
151," Oh, Christmas Eve.",not hate speech
152, It's a tradition here in Britewell.,hate speech
153,"The Jubilee, not Christmas Eve.",not hate speech
154,"playful music I mean Christmas Eve is a tradition too, but it's kind of a tradition everywhere, so chuckles.",hate speech
155," Yeah, I'll be long gone before then.",not hate speech
156,upbeat music  Hey Pete.,not hate speech
157, Hi Cate.,not hate speech
158,upbeat Christmas music  Take out.,not hate speech
159," Take out order, right.",not hate speech
160,"Sorry, end of my shift, you're pickin' up your dinner.",not hate speech
161,"Got it, be right back.",not hate speech
162, Okay.,not hate speech
163,"upbeat Christmas music  Cate, Cate Merriweather.",not hate speech
164," Uh, yes?",not hate speech
165," I um, I uh, I saw a picture of you.",hate speech
166, You did?,not hate speech
167," Yeah, on your company website.",not hate speech
168, I see.,not hate speech
169, I'm your guy.,not hate speech
170,"playful music You, you seem surprised.",not hate speech
171,I thought you knew I was coming.,not hate speech
172," Oh, right.",not hate speech
173,"Yeah, my mom told me about this.",not hate speech
174," Oh, well, I don't mean to sound bold but what if I told you your problems are over?",not hate speech
175,playful music  And what if I told you I'm just not interested?,not hate speech
176," Look, I get it.",hate speech
177,You think that this is a waste of time and in some ways I agree.,not hate speech
178, You do?,not hate speech
179, Well I was told I'm your last chance to turn this ship around.,not hate speech
180, Excuse me?,not hate speech
181," Look, I came all the way here.",not hate speech
182,At the very least we can go for a nice dinner.,not hate speech
183," Uh, thanks but I already ate.",not hate speech
184," Hey, here's your dinner Cate.",not hate speech
185,"playful music  Perfect, thank you.",not hate speech
186, We can go for a coffee in the morning?,hate speech
187,Or a smoothie.,hate speech
188,"Do you, you prefer smoothies?",not hate speech
189," Look, I really don't know how much clearer I can make this but we are not going on a date.",hate speech
190,"So, lovely to meet you, have a nice night.",not hate speech
191, A date?,hate speech
192, And merry Christmas.,not hate speech
193, I'm not here to ask you on a date.,hate speech
194,playful music  Aren't you from Akron?,hate speech
195, New York.,not hate speech
196, Gary?,not hate speech
197, Gabe laughs.,not hate speech
198,Gabe Carter.,not hate speech
199,Empire  Corporate Recovery.,not hate speech
200,playful music Hi throat clears.,not hate speech
201,Cate Merriweather.,not hate speech
202,Nice to meet you.,not hate speech
203, Right.,not hate speech
204,upbeat music  Yeah.,not hate speech
205,Just...,not hate speech
206,upbeat music I feel so silly.,not hate speech
207,I had no idea you were with Empire.,not hate speech
208," It's okay, we know who we are now and why we're here.",hate speech
209," Although, I'm not sure how you can help.",not hate speech
210,It wasn't my idea for you to come here.,not hate speech
211," Well, it wasn't mine either.",not hate speech
212,playful music Think of me as your advisor.,not hate speech
213,playful music That's some big candy canes.,not hate speech
214," Well, we do make Britewell the candy cane capital of the world.",not hate speech
215, So I hear.,not hate speech
216, And with the last two weeks before Christmas it's our busiest time.,not hate speech
217,"Plus, December 26th is a big day for us as well.",not hate speech
218, The day after Christmas?,hate speech
219, It's National Candy Cane Day.,not hate speech
220, I had no idea.,not hate speech
221," Well, now you do.",not hate speech
222, I'm more of a National Pancake Day kinda guy.,not hate speech
223,"Cate chuckles playful music So, what makes Merry & Bright viable?",not hate speech
224," Well, our business model's been the same from the beginning.",not hate speech
225,"We're a seasonal company so, our busiest time's August through December and most of our business comes from contracts with regional and national distributors.",hate speech
226, Just takin' notes.,not hate speech
227," I have some new ideas too but, these days I'm busy just trying to keep the place running.",not hate speech
228,As I'm sure you've heard it's my first year here as CEO.,not hate speech
229,I had to take over for my Grandma Carol who ran the place for 50 years.,not hate speech
230, You had to take over?,not hate speech
231,"So this, this wasn't your idea?",not hate speech
232, Why don't we try some product?,not hate speech
233,Here you go.,not hate speech
234,playful music  Where's yours?,not hate speech
