,dialog
0,"Beautiful friend This is the end My only friend The end Of our elaborate plans The end Of everything that stands The end No safety nor surprise The end I'll never look into your eyes Again Can you picture What will be So limitless and free Desperately in need Of some Stranger's hand In a Desperate land Lost in a Roman Wilderness of pain And all the children Are insane All the children Are insane Waiting for the summer rain Yeah Saigon.  Shit.  I'm still only in Saigon.  Every time, I think I'm gonna wake up back in the jungle.  When I was home after my first tour, it was worse.  I'd wake up, and there'd be nothing.  I hardly said a word to my wife until I said yes to a divorce.  When I was here, I wanted to be there.  When I was there, all I could think of was getting back into the jungle.  I'm here a week now.  Waiting for a mission...  getting softer.  Every minute I stay in this room, I get weaker.  And every minute Charlie squats in the bush, he gets stronger.  Each time I looked around, the walls moved in a little tighter.  Fuck, fuck, fuck, fuck, fuck Yeah Come on, babe, come on now Livin' life, yeah Fuck, fuck, fuck, fuck Yeah Fuck, yeah, come on, baby Fuck, baby, fuck, fuck Oh, yeah, oh, fuck Yeah, do it, yeah, come on Yeah, all right Yeah Yeah, yeah Yeah Yeah, yeah Yeah Everyone gets everything he wants.  I wanted a mission...  and for my sins, they gave me one.  Brought it up to me like room service.  Captain Willard?"
1,Are you in there?
2,"Yeah, I'm comin'."
3,"It was a real choice mission.  And when it was over, I'd never want another.   What do you want?"
4," Are you all right, Captain?"
5,What does it look like?
6," Are you Willard, 505th Battalion?"
7, Affirmative.
8, 173rd Airborne?
9, Yeah.
10, Assigned to SOG?
11," Hey, buddy, gonna shut the door?"
12,We have orders to escort you to the airfield.
13, What are the charges?
14, Sir?
15, What'd I do?
16," There's no charges, Captain."
17,You have orders to report to ComSec Intelligence at Nha Trang.
18, I see.
19, All right?
20," Nha Trang, for me?"
21, That's right.
22,"Come on, Captain. You still have a few hours to get cleaned up."
23, I'm not feeling too good.
24, Captain?
25,"Dave, come here and give me a hand."
26,We got a dead one.
27,"Come on, Captain."
28,Let's take a shower.
29, Don't be an ass.
30, Get a hold of him good.
31,"We're gonna take a shower, Captain."
32,In we go.
33,"Stand underneath this, Captain."
34,"I was going to the worst place in the world...  and I didn't even know it yet.  Weeks away and hundreds of miles up a river...  that snaked through the war like a main circuit cable...  plugged straight into Kurtz.  It was no accident that I got to be the caretaker...  of Colonel Walter E. Kurtz's memory...  any more than being back in Saigon was an accident.  There is no way to tell his story without telling my own.  If his story is really a confession...   Captain Willard reporting, sir."
35, Then so is mine.   Captain. Good. Come on in.
36," Thank you, sir."
37, Stand at ease.
38, General.
39,You want a cigarette?
40,"No, thank you, sir."
41, Have you ever seen this man before?
42," No, sir."
43, Met the general or myself?
44," No, sir."
45,Not personally.
46, You've worked a lot on your own?
47," Yes, sir, I have."
48,Your report specifies intelligence...
49,"counterintelligence with ComSec, ""l"" Corps."
50,"I'm not presently disposed to discuss those operations, sir."
51,"Did you not work for the CIA in ""l"" Corps?"
52,"No, sir."
53,Did you not assassinate a government tax collector...
54,"Quang Tri Province, June 18, 1968?"
55,Captain?
56,"Sir, I am unaware of any such activity or operation..."
57,nor would I be disposed to discuss such an operation...
58,"if it did, in fact, exist, sir."
59,I thought we'd have a bite of lunch while we talk.
60,"I hope you brought a good appetite, Captain."
61,I notice that you have a bad hand there. You wounded?
62,"I had a little fishing accident on R and R, sir."
63, Fishing on R and R?
64," Yes, sir."
65,But you're feeling fit?
66,You're ready for duty?
67,"Yes, General."
68,"Very much so, sir."
69,"Well, let's see what we have here, roast beef, and usually it's not bad."
70,"Try some, Jerry, and pass it around."
71,"To save a little time, we might pass both ways."
72,"Captain, I don't know how you feel about this shrimp..."
73,but if you'll eat it...
74,you'll never have to prove your courage in any other way.
75,"I swear, why don't I just take a piece here?"
76,"Captain, you've heard of Colonel Walter E. Kurtz?"
77,"Yes, sir, I've heard the name."
78,"Oh, Jesus! Operations officer, Fifth Special Forces."
79,"Luke, would you play that tape for the captain, please?"
80," Yes, sir. I'm sorry, sir."
81," Listen to this carefully, Captain."
82,"October 9, 0430 hours, sector Peter, Victor, King.  These were monitored out of Cambodia."
83,This has been verified as Col. Kurtz's voice.
84,"I watched a snail...  crawl along the edge of a straight razor.  That's my dream.  That's my nightmare.  Crawling, slithering...  along the edge...  of a straight razor...  and surviving.  Transmission 11, received '68, December 30, 0500 hours.  Sector King, Zulu, King.  But we must kill them.  We must incinerate them.  Pig after pig.  Cow after cow.  Village after village."
