,Unnamed: 0,dialog
0,0,"as white male, approximately 30."
1,1,"Suspect about 5' 11"", medium build, brown dark pants."
2,2,"Suspect number two, about 6'1"", medium build, round glasses, dark clothes."
3,3,"Be advised, suspects are armed and considered extremely dangerous."
4,4,Use caution.
5,5,"Hey, Earl."
6,6,"Yes, sir."
7,7,What do you know?
8,8, Well...
9,9,It's a hot goddamn day.
10,10,I haven't felt it a bit.
11,11,Been inside with the air conditioner blasting all day long.
12,12," Oh, is that right?"
13,13, That's right.
14,14,Didn't you break for lunch or nothin'?
15,15,All by myself today.
16,16,Ate my lunch out of the microwave.
17,17,"Jesus H. Christ, Pete."
18,18,When you gonna learn that microwave food will kill you faster than a bullet?
19,19,"I mean, them damn burritos ain't good for nothin' but a hippie."
20,20,When he's high on weed.
21,21," Pull me down a bottle of that Jack, will ya?"
22,22, Yeah.
23,23,I think I'm gonna get tanked tonight.
24,24,What's the matter?
25,25,Yep.
26,26,"It's been one long, goddamn, hot, miserable, shitass, fuckin' day, every inch of the way."
27,27,First off. Nadine over at Blue Chip got sort of sick.
28,28,"So she got that goddamn, Mongoloid boy of hers workin' the grill."
29,29,"I mean, that fuckin' idiot doesn't know rat shit from Rice Krispies."
30,30,They eat breakfast about 9:00.
31,31,"And I'm pukin' up pigs in a blanket, like a sick, fuckin' dog by 10:30."
32,32,Isn't there a law or something against retards serving food to the public?
33,33,"Well... If there ain't, there oughta be."
34,34,"I mean, who in the hell knows what's goin' on in the mind of a goddamn Mongoloid?"
35,35,Nadine should've hit that boy in the head and sold the fuckin' milk.
36,36,"You could sue the shit out of her, you know that?"
37,37,"That kid belongs under a circus tent, not flippin' burgers."
38,38, You could own that fuckin' place.
39,39," Oh, shit, Pete."
40,40,What would I do with that grease pit?
41,41,"Besides, Nadine's got a cross to bear."
42,42,"I mean, taking care of that potato head."
43,43,I guess you heard about that shit up in Abilene? Bank robbery?
44,44,That's all that's been on the box all day.
45,45,"They killed some people, didn't they?"
46,46,"Yeah. Killed four Rangers, three cops, one civilian."
47,47,"Took a lady bank teller, hostage with them."
48,48,"Supposed to be headed for the border, which'd bring 'em right my way."
49,49,"If I get my hands on them crazy, sick, fuckin' bastards, it's payback time."
